d	Dmel	FBgn0262029
CG32532	Dmel	FBgn0052532
CG3156	Dmel	FBgn0023536
mRpL30	Dmel	FBgn0029718
CG1631	Dmel	FBgn0031101
CG12609	Dmel	FBgn0030952
zyd	Dmel	FBgn0265767
CG9941	Dmel	FBgn0030514
unc	Dmel	FBgn0003950
p120ctn	Dmel	FBgn0260799
CG9572	Dmel	FBgn0031089
sno	Dmel	FBgn0265630
Dsim\GD26014	Dsim	FBgn0250776
CG44774	Dmel	FBgn0266000
e(y)2b	Dmel	FBgn0040670
CG33919	Dmel	FBgn0053919
Rep	Dmel	FBgn0026378
Hrd3	Dmel	FBgn0028475
CG43789	Dmel	FBgn0264330
CG30060	Dmel	FBgn0265272
Dpse\GA19619	Dpse	FBgn0079615
CG1603	Dmel	FBgn0033185
cn	Dmel	FBgn0000337
CG8152	Dmel	FBgn0034008
CG44303	Dmel	FBgn0265362
CG7194	Dmel	FBgn0035868
CG42660	Dmel	FBgn0261536
CG9686	Dmel	FBgn0030158
CG42661	Dmel	FBgn0261537
CG43774	Dmel	FBgn0264296
CG43776	Dmel	FBgn0264298
CG13526	Dmel	FBgn0034774
beat-VI	Dmel	FBgn0039584
Dpse\GA29343	Dpse	FBgn0250701
CG13579	Dmel	FBgn0035010
CG33993	Dmel	FBgn0053993
CG12942	Dmel	FBgn0033569
Dsim\mir-124	Dsim	FBgn0255947
CG43779	Dmel	FBgn0264301
Wdr82	Dmel	FBgn0032030
CG43780	Dmel	FBgn0264302
CG11112	Dmel	FBgn0033164
Octbeta2R	Dmel	FBgn0038063
Neb-cGP	Dmel	FBgn0083167
MESK2	Dmel	FBgn0043070
Nc73EF	Dmel	FBgn0010352
Mec2	Dmel	FBgn0030993
CG12498	Dmel	FBgn0040356
Dpse\GA29341	Dpse	FBgn0250699
CG31515	Dmel	FBgn0051515
Ate1	Dmel	FBgn0025720
CG10051	Dmel	FBgn0034437
Evi5	Dmel	FBgn0262740
Adar	Dmel	FBgn0026086
CG11951	Dmel	FBgn0039656
Trim9	Dmel	FBgn0051721
CG34155	Dmel	FBgn0083991
CG1124	Dmel	FBgn0037290
Dvir\ssx	Dvir	FBgn0202856
CG6891	Dmel	FBgn0030955
qin	Dmel	FBgn0263974
CG5131	Dmel	FBgn0032644
CG3294	Dmel	FBgn0031628
CG15754	Dmel	FBgn0030492
CG30491	Dmel	FBgn0050491
CG30461	Dmel	FBgn0050461
