"geneid","log2FoldChange","lfcSE","pvalue","padj","symbol"
"FBgn0003249",-4.08632348759681,0.106855832980575,0,0,"Rh3"
"FBgn0030830",4.21776177102706,0.0972089339891002,0,0,"CG5172"
"FBgn0004045",-3.49132508064583,0.0895076518058186,0,0,"Yp1"
"FBgn0030593",-3.44639593747911,0.0882611679894226,0,0,"CG9512"
"FBgn0004784",-3.72291243619888,0.0967446089232571,0,0,"inaC"
"FBgn0004516",-4.86794082774432,0.110505532213583,0,0,"Gad1"
"FBgn0027657",-3.30961337061735,0.0803451789442342,0,0,"glob1"
"FBgn0037166",-3.50412691813903,0.0851592743991039,0,0,"CG11426"
"FBgn0004623",-3.45015093920992,0.0783915982698768,0,0,"Gbeta76C"
"FBgn0033268",-4.21026445254041,0.084869943420428,0,0,"Obp44a"
"FBgn0267435",-3.17980302032408,0.0816405307541212,0,0,"chp"
"FBgn0003861",-3.19074110040519,0.0744097689009811,0,0,"trp"
"FBgn0004047",-3.79363291391699,0.0747881076769602,0,0,"Yp3"
"FBgn0005391",-3.43556956151359,0.0761750440419187,0,0,"Yp2"
"FBgn0040074",-5.01628715163128,0.0832477839782988,0,0,"retinin"
"FBgn0026385",4.6850605728572,0.0743150576765405,0,0,"Or47b"
"FBgn0003996",5.84738268011303,0.0807879778241489,0,0,"w"
"FBgn0000120",-3.3683574315984,0.068594666921915,0,0,"Arr1"
"FBgn0002938",-3.94969074068623,0.0754081267489703,0,0,"ninaC"
"FBgn0000121",-3.23155937088221,0.0647170891685653,0,0,"Arr2"
"FBgn0013772",2.6916627351778,0.0650216872588936,0,0,"Cyp6a8"
"FBgn0041625",7.53996259008567,0.0899257709806863,0,0,"Or65a"
"FBgn0002940",-4.61129977282818,0.0597583489586394,0,0,"ninaE"
"FBgn0035495",-4.85600121136394,0.129813914642553,2.9618844001014e-306,1.6005282827048e-303,"CG14989"
"FBgn0032797",-5.45082976990775,0.146919679563608,2.73264046074379e-301,1.41758456541545e-298,"Hasp"
"FBgn0261714",-3.39282293656514,0.0918208908517223,7.16412317196674e-299,3.57351974681679e-296,"Cpn"
"FBgn0040637",3.64615013529757,0.104757009015405,1.98823821065306e-265,9.55017087183687e-263,"CG11458"
"FBgn0015714",3.93944019120533,0.113197851902489,2.31901491163975e-265,1.07411801389486e-262,"Cyp6a17"
"FBgn0263830",-2.71285713066691,0.0788661893407251,2.68013835489683e-259,1.19857635602265e-256,"CG40486"
"FBgn0003250",-3.1024345451895,0.0926163007429979,5.20325452384187e-246,2.24936693065684e-243,"Rh4"
"FBgn0031942",-1.97593956330759,0.0590707534538919,2.54061502176989e-245,1.06287858765593e-242,"CG7203"
"FBgn0031971",-2.49458321588851,0.0751626660353645,1.54501834247211e-241,6.26166965110024e-239,"Sirup"
"FBgn0013278",6.03290761116867,0.181824790545741,2.10702005956246e-241,8.28058883408046e-239,"Hsp70Bb"
"FBgn0038017",-4.21487594013279,0.128666412394092,2.32295807814508e-235,8.86071862219516e-233,"CG4115"
"FBgn0087005",-3.22842299881497,0.0995161234153806,7.20722792362969e-231,2.67058682690153e-228,"rtp"
"FBgn0001263",-3.19551178792471,0.099809336910547,6.49713811324676e-225,2.34059400529715e-222,"inaD"
"FBgn0011693",-2.91801290562942,0.094758581154091,3.13533712456098e-208,1.09897803157922e-205,"Pdh"
