"geneid","log2FoldChange","lfcSE","pvalue","padj","symbol"
"FBgn0030357",-4.59644156029137,0.119469629331389,0,0,"Sclp"
"FBgn0031925",5.58271518896304,0.129846006582505,0,0,"Cyp4d21"
"FBgn0004045",4.30649142905235,0.0965741991280716,0,0,"Yp1"
"FBgn0032538",-3.204818349362,0.0823147178512096,0,0,"Vajk2"
"FBgn0260653",-3.74812712025285,0.0892040492907391,0,0,"serp"
"FBgn0087002",3.1994915838361,0.0831681775302742,0,0,"apolpp"
"FBgn0261341",-3.38354437959405,0.0828466966403551,0,0,"verm"
"FBgn0010019",4.82764753094385,0.094373403459277,0,0,"Cyp4g1"
"FBgn0005391",3.68142719761484,0.0739505095187891,0,0,"Yp2"
"FBgn0032835",-3.03913503719668,0.0678759308433515,0,0,"CG16772"
"FBgn0004047",5.18085421502873,0.0778246970951649,0,0,"Yp3"
"FBgn0033308",-4.25082084740681,0.114922589644876,1.74911492195035e-299,1.92839920145027e-296,"CG8736"
"FBgn0265356",-3.08939938006643,0.08378233283426,1.2014834374422e-297,1.22274045210464e-294,"tn"
"FBgn0000092",-3.07572841296957,0.0861597222302174,4.24834723034103e-279,4.01468813267228e-276,"dyw"
"FBgn0028544",-3.03453038117472,0.086545225098841,2.47594233513003e-269,2.18378113958469e-266,"Vajk3"
"FBgn0000044",-2.66352109659649,0.0777253966254414,2.32471915985786e-257,1.92225215530747e-254,"Act57B"
"FBgn0030114",-3.12474018262511,0.0944967435475968,8.81281421369595e-240,6.85844306159985e-237,"CG17754"
"FBgn0022355",2.3879761019541,0.07459737718265,7.53674924980611e-225,5.53951069860749e-222,"Tsf1"
"FBgn0085356",-3.59601208420896,0.11236280022552,9.72212503081317e-225,6.76966916619254e-222,"CG34327"
"FBgn0003886",-2.5995095407327,0.0858646103996447,2.48246395105908e-201,1.64214990362558e-198,"alphaTub85E"
"FBgn0000120",2.16408796813439,0.0800547422988651,6.11791941588491e-161,3.85428923200749e-158,"Arr1"
"FBgn0035439",-3.20800932607901,0.12030088880856,1.15062231086703e-156,6.91942416944125e-154,"CG14961"
"FBgn0035281",-3.62239536222231,0.135911646531855,1.67082180868469e-156,9.61085762126017e-154,"Cpr62Bc"
"FBgn0039805",-3.27210862409804,0.122917618897874,3.94792523839022e-156,2.17629378766261e-153,"Cpr100A"
"FBgn0082582",-2.10261416701774,0.0807835879480013,2.40403196343399e-149,1.27221371504927e-146,"tmod"
"FBgn0039040",2.39620986808627,0.0923249737452023,1.63530323114686e-148,8.32117759541266e-146,"CG13833"
"FBgn0031940",-2.16310204096937,0.0838075250384971,6.78498735730293e-147,3.32464380507844e-144,"CG7214"
"FBgn0026077",-2.10390870649418,0.0822906863113832,3.5724977518974e-144,1.68800518777152e-141,"Gasp"
"FBgn0031879",-2.75114787173497,0.108409336469329,4.47939791405213e-142,2.04353222078999e-139,"uif"
"FBgn0036597",-3.19288256361772,0.128318712891364,1.15271682852422e-136,5.08348121379179e-134,"CG4962"
"FBgn0033820",3.26116430444664,0.13275632033417,2.98756601586697e-133,1.27501607709419e-130,"CG4716"
"FBgn0004362",2.63238318419961,0.107774321428037,9.28964186931216e-132,3.84068631034375e-129,"HmgD"
"FBgn0030158",-3.08247099147727,0.127641624004855,7.572413734215e-129,3.03584950617165e-126,"CG9686"
"FBgn0030830",-8.01727409371404,0.333437421328791,9.57312069951202e-128,3.72507020160424e-125,"CG5172"
"FBgn0000592",1.62603187184779,0.0676465623203652,1.1370492439197e-127,4.29804614201645e-125,"Est-6"
"FBgn0250871",-2.21321935778364,0.0921214861744781,1.52380804529706e-127,5.59999456646669e-125,"pot"
"FBgn0038180",-3.32912737439198,0.139241116529204,2.46406325953922e-126,8.8106910604605e-124,"Cht5"
"FBgn0038126",-5.60221053606485,0.236399939226901,3.77921036585553e-124,1.31576192474391e-121,"CG8483"
"FBgn0032285",2.72831187744602,0.115336055962643,1.04040433704186e-123,3.52937163565739e-121,"CG17108"
"FBgn0002940",1.89066858433265,0.0800919327914419,3.32620216092905e-123,1.10014136472728e-120,"ninaE"
"FBgn0039481",-2.76503761154099,0.117661404415452,4.08313807772436e-122,1.31755894556813e-119,"Cpr97Eb"
"FBgn0283531",-3.06073098936039,0.131558721687347,9.99862869892563e-120,3.14956804016157e-117,"Duox"
"FBgn0002440",-3.95832157960123,0.172411718077001,1.21068688128008e-116,3.72497382310128e-114,"l(3)mbn"
"FBgn0014859",-2.24910641128524,0.0996425868507096,8.2151781330718e-113,2.47015469773955e-110,"Hr38"
"FBgn0052512",-2.30444695363353,0.102103439914759,8.5971503576619e-113,2.5275622051526e-110,"CG32512"
"FBgn0000404",4.46774849159362,0.198349321495869,2.38047850843488e-112,6.84646318838989e-110,"CycA"
"FBgn0000121",1.81539830966961,0.0817896568538386,3.75910280966064e-109,1.05814745046405e-106,"Arr2"
"FBgn0034903",-1.99396992135677,0.0904077758928973,8.49809569025613e-108,2.34228762462685e-105,"sona"
"FBgn0032467",-1.81225011300133,0.0824831045188592,5.43532294969881e-107,1.46753719641868e-104,"CG9934"
"FBgn0011669",6.28971275458894,0.289552176546108,1.26547000904208e-104,3.34843364392534e-102,"Mst57Db"
"FBgn0036368",-2.38431877800331,0.11026628893874,1.08487910391106e-103,2.81430402838104e-101,"CG10738"
"FBgn0014454",-2.60761978394258,0.121193337339814,1.09807185296682e-102,2.79374819514443e-100,"Acp1"
"FBgn0031313",-2.18269620486291,0.10245797585627,1.05728110385768e-100,2.63921301962965e-98,"CG5080"
"FBgn0284408",-1.8296525636965,0.085955591082443,1.52976748042024e-100,3.74793032702959e-98,"trol"
"FBgn0002643",-1.83471550449377,0.0862491046464361,2.05046801270291e-100,4.93230760146535e-98,"mam"
"FBgn0039298",1.35460932930496,0.0639039125008343,1.0050031222317e-99,2.3743198762724e-97,"to"
"FBgn0039161",-3.01997620696324,0.142549341742947,1.29994614984036e-99,3.01724343199789e-97,"CG13606"
"FBgn0000045",-1.5421483466673,0.0733172291872642,3.21034900117413e-98,7.32291677336788e-96,"Act79B"
"FBgn0037447",-3.20721636940171,0.153882581335652,1.802604323776e-96,4.04211105145026e-94,"Neurochondrin"
"FBgn0030562",-1.49604784549588,0.0719049890546953,3.82728205327536e-96,8.43915692747217e-94,"CG9400"
"FBgn0033728",-1.9223214061745,0.0941453297122917,1.14154340495068e-92,2.47583922090123e-90,"Cpr49Ae"
"FBgn0035425",-1.93778133874093,0.0949277596847238,1.27592674577322e-92,2.72266303977093e-90,"CG17746"
"FBgn0042201",-1.95018716611282,0.096048679599671,1.18161724483156e-91,2.48139621414628e-89,"Nplp3"
"FBgn0001090",-1.46674145166259,0.0725120164362301,5.60021127315153e-91,1.15766867412179e-88,"bnb"
"FBgn0035398",-2.92350070823368,0.147358659632549,1.36195765698836e-87,2.77210766183939e-85,"Cht7"
"FBgn0010414",-1.73349578475774,0.0874233813349587,1.68189617675745e-87,3.37143733613653e-85,"SerT"
"FBgn0085256",-3.28221355578321,0.165940035122305,4.46961033808133e-87,8.82581265265909e-85,"CG34227"
"FBgn0029990",1.6530768809617,0.0835856754050212,4.69491736106141e-87,9.13437598335918e-85,"CG2233"
"FBgn0033188",-1.46725428423051,0.0753547220361972,1.92333829526133e-84,3.68779212265324e-82,"Drat"
"FBgn0031942",-1.74096092221689,0.0894316490093352,2.09396308998584e-84,3.95759024007323e-82,"CG7203"
"FBgn0005626",-1.53847036370844,0.0793036254082858,7.75503043863239e-84,1.44505708032544e-81,"ple"
"FBgn0003861",1.69906086618477,0.0878166248732023,2.12619198726482e-83,3.9068777765991e-81,"trp"
"FBgn0031692",-2.21283005016319,0.11581254364743,2.20811209556151e-81,4.00182507181902e-79,"TpnC25D"
"FBgn0011704",3.06719900306416,0.1616165331042,2.58047781089223e-80,4.61347587001408e-78,"RnrS"
"FBgn0000405",6.3306298333007,0.335552014547746,2.15836671021237e-79,3.80735887681463e-77,"CycB"
"FBgn0039480",-3.97221311126582,0.211956154726103,2.30443391907496e-78,4.01153430912654e-76,"Cpr97Ea"
"FBgn0035049",-1.28761315853039,0.069104069618143,1.73659373712738e-77,2.98378378470068e-75,"Mmp1"
"FBgn0039131",-1.85116395521422,0.0998010786070775,8.38026820671937e-77,1.42142241506278e-74,"CG12268"
"FBgn0036262",2.31322235594801,0.1251115082498,2.51871000226251e-76,4.16655207950706e-74,"CG6910"
"FBgn0040359",-3.09616848611793,0.167457591422745,2.5194570397624e-76,4.16655207950706e-74,"CG11380"
"FBgn0041711",-2.01752828712367,0.109282612808071,4.2094931827977e-76,6.87550553190291e-74,"yellow-e"
"FBgn0027600",-2.61122832429085,0.143434210686745,4.70543118231836e-74,7.59181152952097e-72,"obst-B"
"FBgn0085249",4.0851968948967,0.224641500577291,6.73547915614511e-74,1.07361914741927e-71,"CG34220"
"FBgn0035985",1.27565954288456,0.0702126960150024,9.16661191331607e-74,1.44374137634728e-71,"Cpr67B"
"FBgn0264695",-1.49669061810114,0.0824194064554908,1.08113542082267e-73,1.68275548440988e-71,"Mhc"
"FBgn0034859",-1.99325533020381,0.110308156542078,5.50316592029881e-73,8.46591687506434e-71,"CG3520"
"FBgn0086604",-1.50472744399071,0.0832772500770947,5.60299867366872e-73,8.52042212099277e-71,"side-VIII"
"FBgn0038819",-2.60084195362921,0.144226500740785,1.07234742210104e-72,1.61217686299963e-70,"Cpr92F"
"FBgn0003149",-1.27005373844044,0.0705039245996769,1.5144382598498e-72,2.25123799750707e-70,"Prm"
"FBgn0038286",-1.4275537409199,0.079404520519542,2.88492108868127e-72,4.24083400036147e-70,"CG6966"
"FBgn0035844",-3.57918184382862,0.199424464866204,5.01487789220979e-72,7.29086093559731e-70,"CG13676"
"FBgn0004181",5.95851627033275,0.334375730125987,4.95933245542846e-71,7.13173569405636e-69,"Ebp"
"FBgn0029639",-2.95662764739353,0.166455684136227,1.3856425217681e-70,1.97118823257978e-68,"CG14419"
"FBgn0036091",7.97746277713781,0.44972916553994,2.11992200138078e-70,2.98367745513486e-68,"CG18628"
"FBgn0035553",-3.8395319813005,0.218493411103953,3.98323480731885e-69,5.54717857903457e-67,"CG13722"
"FBgn0046763",2.07719675950619,0.118323073624944,5.41823522328903e-69,7.46700541709519e-67,"CG17278"
"FBgn0022893",1.40979803411857,0.0812300787292393,1.78872288805015e-67,2.43967049576325e-65,"Df31"
"FBgn0001311",-4.41301587986297,0.256551985946729,2.59846510517114e-66,3.50792789198103e-64,"kkv"
"FBgn0033760",-1.26286095304948,0.073425238257817,2.68869016597035e-66,3.59306776725129e-64,"CG8785"
"FBgn0021776",5.26977701475133,0.309799704808373,6.89179462675146e-65,9.11784429119218e-63,"mira"
"FBgn0040532",1.47141632089883,0.0865109922786124,7.11158540716376e-65,9.31547276601748e-63,"CG8369"
"FBgn0261243",-1.61385650139935,0.0951808102064496,1.74692478005614e-64,2.26586420001399e-62,"Psa"
"FBgn0051522",-1.61809942962361,0.0957693844196373,4.83196633814829e-64,6.20649656832058e-62,"CG31522"
"FBgn0035544",-1.72987518784464,0.102556611449416,7.80097319033391e-64,9.92373801039592e-62,"CG15021"
"FBgn0260746",-2.37173885434236,0.140922616066773,1.46904316170223e-63,1.8509943837448e-61,"Ect3"
"FBgn0039678",3.82592303164137,0.227352140274248,1.51690387912456e-63,1.8932677661149e-61,"Obp99a"
"FBgn0039492",-1.33113097055715,0.0791570361051355,1.85281967962179e-63,2.2909162954576e-61,"CG6051"
"FBgn0034075",-1.64322805940455,0.0982353790362456,8.26946620516109e-63,1.01300961013223e-60,"Asph"
"FBgn0016075",-1.45793050617891,0.0871830255670401,8.96553045048352e-63,1.08820153999905e-60,"vkg"
