"geneid","log2FoldChange","lfcSE","pvalue","padj","symbol"
"FBgn0037324",-8.46287315521389,0.358994207916935,7.15066299687906e-123,6.34549834343048e-119,"Orco"
"FBgn0031735",5.7628010764487,0.55921900397105,6.68304486014112e-25,2.96526700444462e-21,"CG11029"
"FBgn0034865",-3.65299900745312,0.358370841727785,2.12321635163313e-24,6.2804739681308e-21,"Or59b"
"FBgn0026385",-4.21293060781487,0.415476788965696,3.6713605487081e-24,8.14491337730892e-21,"Or47b"
"FBgn0263830",-3.18356027482309,0.346947287430992,4.47738028878715e-20,7.94645453653944e-17,"CG40486"
"FBgn0038798",-3.55165393012411,0.425503325045486,7.00498160929154e-17,1.03603678001422e-13,"Or92a"
"FBgn0030204",-3.77682992154983,0.45599218706373,1.2045024587854e-16,1.52696497418024e-13,"Or9a"
"FBgn0027073",-2.51781835267196,0.327091536866172,1.38650426023989e-14,1.5379798506711e-11,"Ugt49B1"
"FBgn0267734",4.17976027282282,0.545753531492887,1.87830727424758e-14,1.85201097240811e-11,"asRNA:CR46065"
"FBgn0085237",4.80319873606698,0.633623403843435,3.44156580273777e-14,3.0540454933495e-11,"CG34208"
"FBgn0033043",-2.73188133039671,0.372000659079313,2.07684684207173e-13,1.67544898877678e-10,"Or42b"
"FBgn0039523",-2.38367657749574,0.327569752483489,3.4170000727848e-13,2.52687155382436e-10,"CG12885"
"FBgn0030016",-2.92597792878779,0.405256552246931,5.19634097293214e-13,3.54710229183076e-10,"Or7a"
"FBgn0030715",-4.97523067417636,0.696327011081838,9.00201864761947e-13,5.7059938199268e-10,"Or13a"
"FBgn0033127",-1.87947057440188,0.28032345468608,2.0189005055616e-11,1.19438153909024e-08,"Tsp42Ef"
"FBgn0063496",-2.02778848719056,0.31601186636002,1.3915831325212e-10,7.71806794874569e-08,"GstE4"
"FBgn0037488",8.19509742503804,1.30429640350755,3.31768415034078e-10,1.73183112647789e-07,"CG14607"
"FBgn0038134",4.50387661674801,0.718830546616212,3.71485612382076e-10,1.83142406904363e-07,"wntD"
"FBgn0033308",-3.23163778169449,0.523421411511628,6.65561856203915e-10,3.10852416418608e-07,"CG8736"
"FBgn0033958",-1.93881887403754,0.325516447579919,2.58278018934457e-09,1.14597957001218e-06,"jef"
"FBgn0261834",-5.4392912720177,0.937176157157635,6.47839150523874e-09,2.73758315321374e-06,"CG42766"
"FBgn0260657",-1.88903032231132,0.343329810849265,3.75322689653393e-08,1.51391524908373e-05,"CG42540"
"FBgn0034473",-2.42618029646211,0.442816258376896,4.27790860060306e-08,1.65052873572833e-05,"Or56a"
"FBgn0032734",-1.73879014521547,0.318294008585008,4.68569412346909e-08,1.7325354021527e-05,"CG15169"
"FBgn0010044",-1.81489397622033,0.333316231917614,5.18166563954755e-08,1.83549318505173e-05,"GstD8"
"FBgn0030993",-6.12542573062541,1.12634037677836,5.37782542386127e-08,1.83549318505173e-05,"Mec2"
"FBgn0000092",-4.96871102516756,0.916595317226318,5.93216389128277e-08,1.94970453226827e-05,"dyw"
"FBgn0262476",-1.71920507947529,0.329031695724055,1.74113724392295e-07,5.51816139377581e-05,"CG43066"
"FBgn0016650",-3.0288438187857,0.581939079155261,1.94264422533338e-07,5.76742825565209e-05,"Lgr1"
"FBgn0026397",-1.66885582208047,0.320683213991058,1.94977290589996e-07,5.76742825565209e-05,"Or22b"
"FBgn0039896",2.15466979057105,0.417518128240425,2.46078581131241e-07,7.04419783535044e-05,"yellow-h"
"FBgn0041621",-3.71983471541926,0.724222531130249,2.8017857936442e-07,7.76970222899958e-05,"Or82a"
"FBgn0022709",-1.46980367592405,0.287126312845397,3.07136819795074e-07,8.25918829958027e-05,"Ak1"
"FBgn0051999",1.666679378559,0.328876786881109,4.02455360972321e-07,0.000105040849213776,"CG31999"
"FBgn0035281",-3.23372001614507,0.661391672725142,1.01212500820007e-06,0.000253649744194952,"Cpr62Bc"
"FBgn0033358",-1.90320605827911,0.389521604341183,1.02900504744402e-06,0.000253649744194952,"spab"
"FBgn0035914",-1.73838102803021,0.357009016433737,1.11998994135656e-06,0.000268615965935084,"CG6282"
"FBgn0038029",-1.52389958511776,0.313557057496955,1.17362522827028e-06,0.000274072375675538,"GstD11"
"FBgn0033170",-5.27093353813108,1.09583824135167,1.50963651500413e-06,0.000343500370106324,"sPLA2"
"FBgn0040582",-2.48168215203994,0.517292780329188,1.6070465738737e-06,0.00035304336302461,"BomBc3"
"FBgn0028963",-4.5820872521706,0.955704764541284,1.63114467928882e-06,0.00035304336302461,"Or49b"
"FBgn0036235",-1.45572794482873,0.306204321407977,1.99325983651706e-06,0.000421147328315534,"CG6938"
"FBgn0037399",-4.00731892600163,0.848928093777135,2.35328485447621e-06,0.000485652320898183,"Or83c"
"FBgn0033135",-1.7147799853652,0.364385103220964,2.52679960599212e-06,0.000509609538717592,"Tsp42En"
"FBgn0030234",-1.55528657835398,0.331686024816404,2.7449967988765e-06,0.000541313368738446,"CG15211"
"FBgn0001114",2.28964648727819,0.489933259757955,2.96276395938365e-06,0.000571555812512403,"Glt"
"FBgn0036078",-2.96994921942619,0.6365790171147,3.07891453327765e-06,0.000581325267410764,"Or67c"
"FBgn0031414",-1.73393202386413,0.376698305909481,4.1650281247459e-06,0.000770009574562398,"eys"
"FBgn0023523",-4.14247912824578,0.914487831340168,5.90297246479713e-06,0.00106904036025734,"Or2a"
"FBgn0034566",-1.50122555583595,0.33321679997198,6.62943149223173e-06,0.00117659150124129,"CG9313"
"FBgn0038874",-2.72428190250233,0.607487389670562,7.30824525848774e-06,0.00127163467497687,"ETHR"
"FBgn0031829",-1.63782154279547,0.367805433378253,8.46959747056374e-06,0.00144536938372659,"IFT52"
"FBgn0267058",-3.15053896800283,0.715723670474497,1.07310511060498e-05,0.00179674240594502,"lncRNA:CR45502"
"FBgn0041622",-4.32467949069162,1.00419203333649,1.65763546694682e-05,0.00272404761734927,"Or69a"
"FBgn0037717",-1.89040543221461,0.443931727645639,2.05964657970152e-05,0.00328400541427277,"CG8301"
"FBgn0032850",-1.62825470607225,0.382493729667146,2.07239467206756e-05,0.00328400541427277,"Kua"
"FBgn0039805",-2.83234089907691,0.66658477711296,2.14695028511386e-05,0.003342462601772,"Cpr100A"
"FBgn0013772",-1.19924995160409,0.283735400493921,2.37197209420899e-05,0.00362911730413976,"Cyp6a8"
"FBgn0013342",-1.1674352815548,0.277236821891234,2.54279188750714e-05,0.00380015757574425,"nSyb"
"FBgn0050271",-1.23432003711506,0.293284157506206,2.56941012558773e-05,0.00380015757574425,"CG30271"
"FBgn0264874",-3.32808116662256,0.801998013317122,3.3285688481748e-05,0.0047919553161699,"asRNA:CR44065"
"FBgn0033876",-1.37831174296646,0.332462128014129,3.38672648329415e-05,0.0047919553161699,"Syngr"
"FBgn0039347",-1.57149806838309,0.37935144533451,3.43403309166369e-05,0.0047919553161699,"CG5071"
"FBgn0038606",-1.44015065269118,0.34776759089927,3.45599662198415e-05,0.0047919553161699,"CG15803"
"FBgn0003886",-3.79284230736507,0.921880843408515,3.88451151769488e-05,0.0052711931327774,"alphaTub85E"
"FBgn0032733",-2.1050575612979,0.511915426569025,3.92042761734627e-05,0.0052711931327774,"CG15170"
"FBgn0026389",-2.1209659179776,0.518799080812409,4.34691694743648e-05,0.00575739417784348,"Or43a"
