"geneid","log2FoldChange","lfcSE","pvalue","padj","symbol"
"FBgn0036381",-4.18396545619579,0.192721167525639,1.6526446171746e-104,2.00118736693672e-100,"CG8745"
"FBgn0016076",-1.20674402122233,0.09842480570675,1.47462648154329e-34,8.92812603250387e-31,"vri"
"FBgn0263390",-3.42121139244285,0.308441137340626,1.37273870300567e-28,5.54083098489854e-25,"Nha2"
"FBgn0031109",0.877702784093073,0.0839464420287377,1.38254349072992e-25,4.18530478231216e-22,"Obp19a"
"FBgn0270925",-4.72033360685349,0.463252999239083,2.20813176560027e-24,5.34765350993073e-21,"CG4836"
"FBgn0037873",1.07222231599968,0.106292439749193,6.27632595830127e-24,1.26666718381784e-20,"SdhC"
"FBgn0016120",0.96395539183077,0.0965375337845099,1.76781142998642e-23,3.05806122938651e-20,"ATPsynD"
"FBgn0035032",0.990929399798946,0.0994776443255399,2.25037393979959e-23,3.40622225462915e-20,"ATPsynF"
"FBgn0037298",0.921646350848191,0.0935653477063606,6.83425446982273e-23,9.1951097083426e-20,"Sccpdh1"
"FBgn0001258",-1.44389104029725,0.156133204429125,2.29127800247651e-20,2.77450853319881e-17,"Ldh"
"FBgn0266582",1.02730506873194,0.112384331126252,6.18779886448997e-20,6.81164149546445e-17,"ND-30"
"FBgn0021967",1.15653475009688,0.127975094269518,1.60756469085199e-19,1.62216673679389e-16,"ND-PDSW"
"FBgn0025583",-1.70815902556954,0.189628358438985,2.09981851266988e-19,1.95590018230151e-16,"BomS2"
"FBgn0040736",-1.71328878210407,0.190781636671658,2.6986935440544e-19,2.33417715178248e-16,"BomS3"
"FBgn0027785",1.08779077223106,0.122090153862941,5.11552323724084e-19,4.12959139198329e-16,"NP15.6"
"FBgn0085237",-3.83541033638883,0.431879989971767,6.6421959554094e-19,5.02689692650327e-16,"CG34208"
"FBgn0034766",0.76938713419939,0.0878625866466472,2.01033160606668e-18,1.43194737752126e-15,"Obp59a"
"FBgn0001233",0.906452859266659,0.103884495599583,2.64811205167072e-18,1.78144382409338e-15,"Hsp83"
"FBgn0046294",-5.7381093071154,0.676099236917242,2.11891220588757e-17,1.35041620532066e-14,"CG12699"
"FBgn0033395",-3.16223676536174,0.373616453348405,2.58673814847228e-17,1.56614061199254e-14,"Cyp4p2"
"FBgn0014391",1.22434579730052,0.145174592977787,3.35164361585077e-17,1.93262154973033e-14,"sun"
"FBgn0014000",0.920630883392762,0.109642601686343,4.59384928037103e-17,2.5284964061824e-14,"Hf"
"FBgn0034329",-1.90172770814817,0.227775031213818,6.87564679316323e-17,3.61987856601798e-14,"BomS1"
"FBgn0037836",-0.80893594760467,0.0978515008064109,1.37400327974789e-16,6.93241904769464e-14,"CG14692"
"FBgn0043791",-4.23941677733584,0.52441008896985,6.25924349190482e-16,3.03172717773902e-13,"phu"
"FBgn0035915",-2.35917062992032,0.293726609571474,9.60068923957958e-16,4.47133638469496e-13,"S-Lap1"
"FBgn0033912",0.852642078536032,0.106395234404127,1.11115948055037e-15,4.98334449999422e-13,"RpS23"
"FBgn0041180",-0.951044412698325,0.118819416529131,1.2032775973366e-15,5.20374586648173e-13,"Tep4"
"FBgn0032518",0.958733130835588,0.120063362069122,1.40264611525654e-15,5.85677303780739e-13,"RpL24"
"FBgn0034877",0.904588778795762,0.113932384594595,2.0267335878054e-15,8.18057233824519e-13,"levy"
"FBgn0010612",0.789292659059247,0.102727659278156,1.54980252044059e-14,6.05372861935971e-12,"ATPsynG"
"FBgn0020235",0.790692671077629,0.103250541190153,1.88850507827938e-14,7.11109621168226e-12,"ATPsyngamma"
"FBgn0287720",-3.02080525188601,0.394635101793447,1.93794842667037e-14,7.11109621168226e-12,"Pen"
"FBgn0034576",0.869467507920781,0.113646665330656,2.00011805437966e-14,7.12336162367157e-12,"ND-B14.7"
"FBgn0010213",0.86485651779965,0.113173923435333,2.14146493470848e-14,7.24970617675617e-12,"Sod2"
