"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"462","FBgn0002940",2279.28759043946,7.590263750263,0.200187891333852,37.9156985953999,0,0,"ninaE"
"938","FBgn0005391",3150.95049488518,6.90776204429209,0.141968670294585,48.656946845797,0,0,"Yp2"
"995","FBgn0010019",3003.37574753039,5.71808657249115,0.116671728745907,49.0100441122653,0,0,"Cyp4g1"
"2429","FBgn0026385",3706.74797466972,3.07205600348865,0.0772083688774319,39.789158198194,0,0,"Or47b"
"4671","FBgn0032181",2402.10017578768,5.22692419440363,0.107731527184948,48.5180553082692,0,0,"CG13133"
"6134","FBgn0034515",2137.98089393679,-5.33802854401579,0.111912844598375,-47.6980865169904,0,0,"CG13428"
"6963","FBgn0035817",3241.67591547258,4.47330645850764,0.111204919041821,40.2257966378749,0,0,"CG7409"
"7159","FBgn0036143",4009.89467434907,4.38982044601281,0.0908058794397915,48.3429098764851,0,0,"CG14142"
"8698","FBgn0038397",3886.81372341806,4.16489306862394,0.105157720809658,39.6061557492545,0,0,"CG10185"
"9931","FBgn0040532",9583.34579616285,3.69372905941686,0.0881713560877565,41.892619364281,0,0,"CG8369"
"10133","FBgn0041625",5148.71890082551,6.72813600361023,0.116407390324655,57.7981860502652,0,0,"Or65a"
"10771","FBgn0051216",4380.02570713224,4.09356325295474,0.0809064733864525,50.5962388621451,0,0,"Naam"
"12970","FBgn0087002",2111.64936783987,4.05705587191294,0.093134612999007,43.5612039527796,0,0,"apolpp"
"4087","FBgn0031289",1387.75867988983,6.18132501085299,0.166062843507942,37.2228060189598,2.91889692509348e-303,2.81444211370263e-300,"CG13950"
"419","FBgn0002773",2653.63300878321,3.00299732417347,0.084350831381027,35.6012771303749,1.33862611837977e-277,1.20467426480057e-274,"Mlc2"
"1955","FBgn0020908",1184.69227000019,3.3702512100402,0.101703173557246,33.1381125304134,8.40118185033929e-241,7.08797211235813e-238,"Scp1"
"10407","FBgn0050052",817.004132922144,-3.71299556697796,0.113179954799483,-32.8061234302148,4.8156986627568e-236,3.82394801462082e-233,"Obp49a"
"47","FBgn0000120",1376.25349305193,7.26589508867892,0.221618039002417,32.7856663716786,9.42542940140247e-236,7.06854841608511e-233,"Arr1"
"17553","FBgn0287423",956.258801523755,4.61299041369081,0.141860476796198,32.5177985995212,5.97513247980567e-232,4.24517438657351e-229,"Nplp2"
"7068","FBgn0035985",2174.49312626056,2.69058753277575,0.0836673550634982,32.1581521339328,6.79386353943735e-227,4.58551819594324e-224,"Cpr67B"
"711","FBgn0004045",1513.83104288283,7.62658669861403,0.237544170354661,32.105972911174,3.6389002538292e-226,2.3391197393543e-223,"Yp1"
"3158","FBgn0029851",1237.91626363244,3.56618090632161,0.11221061856071,31.7811357968068,1.17981472225703e-221,7.2392358798853e-219,"CG14445"
"8256","FBgn0037726",1908.77662216959,3.77971218933322,0.12071933073181,31.3099167003354,3.41989339357927e-215,2.00718003999681e-212,"CG9492"
"20","FBgn0000047",1054.03899985214,3.33053798071251,0.107028158386759,31.1183340058718,1.36079014108605e-212,7.65387754771689e-210,"Act88F"
