"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"974","FBgn0005666",2679.21398912804,2.74441500808669,0.0660573315244713,41.5459562890458,0,0,"bt"
"2631","FBgn0027584",3251.79533179009,2.85421778838389,0.0639829270302341,44.6090530843513,0,0,"CG4757"
"7973","FBgn0037324",6541.75665474605,-4.60818558193586,0.0688761506496719,-66.905387982187,0,0,"Orco"
"12961","FBgn0086906",3791.19912228213,2.43904753981587,0.0623479530802403,39.1199296739842,0,0,"sls"
"14507","FBgn0263830",2352.67099633634,-3.342989012005,0.0743715942986624,-44.9498097160615,0,0,"CG40486"
"14810","FBgn0264695",4606.59749784484,3.18354199820917,0.0671281100405653,47.4248715818956,0,0,"Mhc"
"419","FBgn0002773",1891.33951271987,2.56053621981308,0.0720491353533052,35.5387501495618,1.23973712326499e-276,2.15466312023456e-273,"Mlc2"
"516","FBgn0003149",1183.97887475453,3.10538178509634,0.088363052035705,35.1434418974296,1.46401620842036e-270,2.22640264895527e-267,"Prm"
"18","FBgn0000045",1170.89722821625,3.0774155544679,0.0907295768839912,33.9185485059932,3.54967608641321e-252,4.79837325192257e-249,"Act79B"
"511","FBgn0003137",1683.15719527618,2.94774988332868,0.0879741688946666,33.5069932500083,3.81217657140689e-246,4.63789401677362e-243,"Ppn"
"6134","FBgn0034515",9005.61753183182,1.86010471796127,0.0555993900838082,33.4554878238309,2.14173528038446e-245,2.36875922010522e-242,"CG13428"
"12236","FBgn0063496",4370.74740368123,-2.2562883016565,0.0676542432750412,-33.350285103091,7.2156315023489e-244,7.31544773813139e-241,"GstE4"
"150","FBgn0000473",4372.0101535426,1.99230681232756,0.0614833545506591,32.4040031141438,2.4105117051718e-230,2.25586810808616e-227,"Cyp6a2"
"4206","FBgn0031473",1860.59633059083,-2.18060046640078,0.0692776261062384,-31.4762584828873,1.83585337235209e-217,1.59535658057397e-214,"CG3104"
"8965","FBgn0038798",592.588202712647,-4.98156804641762,0.159614196760166,-31.2100561700213,7.78229376361134e-214,6.31195906187304e-211,"Or92a"
"6353","FBgn0034865",545.882379514127,-4.78352620987425,0.157902247509222,-30.2942249735545,1.36579296245561e-201,1.03851482382718e-198,"Or59b"
"19","FBgn0000046",990.738211997875,2.81162227232287,0.0928752480607723,30.273106463017,2.59082651451446e-201,1.85411737503429e-198,"Act87E"
"2985","FBgn0029167",870.928207839375,2.89377546659744,0.0956018856761433,30.269020805722,2.93230502125903e-201,1.98191238270208e-198,"Hml"
"8555","FBgn0038181",1198.95485730454,2.57239303567302,0.0852838410784905,30.1627248860137,7.30484578480336e-200,4.67740809567988e-197,"CG9297"
"736","FBgn0004169",1483.53738880674,2.42075794343153,0.0809206906646711,29.9151913255778,1.24865892237494e-196,7.59559222480673e-194,"up"
"14739","FBgn0264503",1708.84928723261,-2.29557884322801,0.0785063108604035,-29.2406918382639,5.8970314427932e-188,3.41634688252486e-185,"CG43902"
"12298","FBgn0066292",1226.36421223179,2.62829876139353,0.0904762195016641,29.0496085697434,1.55641531490971e-185,8.60697669145067e-183,"CheB42c"
"5016","FBgn0032734",1426.37341172514,-2.21611445771986,0.0763892730866908,-29.0108069912498,4.80730496140591e-185,2.54285531132454e-182,"CG15169"
"3224","FBgn0029948",1500.2399694235,2.32753005566821,0.080574995023709,28.8865057327443,1.76403629337081e-183,8.94219397714553e-181,"CheA7a"
"5087","FBgn0032850",1606.84176422871,-2.04328963709795,0.0719554116665668,-28.3966082574348,2.22684063571864e-177,1.08366972696612e-174,"Kua"
"1612","FBgn0015039",1774.22923491874,1.99036363796294,0.0711428448221297,27.977003772329,3.0950936751442e-172,1.44826575583863e-169,"Cyp9b2"
"2001","FBgn0022355",3765.45417353107,1.76477035582915,0.0637160172722444,27.6974367102808,7.49660329112007e-169,3.37791391258396e-166,"Tsf1"
"729","FBgn0004117",862.950909516207,2.47312601182718,0.0907295165041911,27.2582298144721,1.32755065657292e-163,5.76820760280934e-161,"Tm2"
"10197","FBgn0042201",1859.79487757612,2.03628231967925,0.0754203144253936,26.9991226527378,1.51337156833603e-160,6.34885465530212e-158,"Nplp3"
"7597","FBgn0036783",1734.56355362272,2.13034108713673,0.0794932871708248,26.7990060916565,3.31858075400925e-158,1.34579511510922e-155,"CheA75a"
"2391","FBgn0026197",4466.08228386147,-2.2924336467894,0.0857509085754004,-26.7336368194125,1.91378416571955e-157,7.51067682585292e-155,"lncRNA:noe"
