"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"711","FBgn0004045",1862.52378206105,4.30649142905235,0.0965741991280716,44.5925668339358,0,0,"Yp1"
"712","FBgn0004047",6733.726940152,5.18085421502873,0.0778246970951649,66.5708240238124,0,0,"Yp3"
"938","FBgn0005391",3961.96959894171,3.68142719761484,0.0739505095187891,49.7823101094317,0,0,"Yp2"
"995","FBgn0010019",3588.51657989818,4.82764753094385,0.094373403459277,51.154746506806,0,0,"Cyp4g1"
"3470","FBgn0030357",1139.5331581153,-4.59644156029137,0.119469629331389,-38.4737241256654,0,0,"Sclp"
"4503","FBgn0031925",1370.17218409979,5.58271518896304,0.129846006582505,42.9948932269685,0,0,"Cyp4d21"
"4908","FBgn0032538",2041.3743103159,-3.204818349362,0.0823147178512096,-38.933722097608,0,0,"Vajk2"
"5077","FBgn0032835",4934.3404711063,-3.03913503719668,0.0678759308433515,-44.7748561152052,0,0,"CG16772"
"12970","FBgn0087002",2601.01869464094,3.1994915838361,0.0831681775302742,38.4701418120104,0,0,"apolpp"
"13375","FBgn0260653",2061.47452040785,-3.74812712025285,0.0892040492907391,-42.01745492558,0,0,"serp"
"13536","FBgn0261341",3111.87441026973,-3.38354437959405,0.0828466966403551,-40.8410294774011,0,0,"verm"
"5343","FBgn0033308",1021.79060928637,-4.25082084740681,0.114922589644876,-36.988557780871,1.74911492195035e-299,1.92839920145027e-296,"CG8736"
"15184","FBgn0265356",1843.03110701377,-3.08939938006643,0.08378233283426,-36.8741150497438,1.2014834374422e-297,1.22274045210464e-294,"tn"
"36","FBgn0000092",2364.58274744687,-3.07572841296957,0.0861597222302174,-35.6979843174433,4.24834723034103e-279,4.01468813267228e-276,"dyw"
"2790","FBgn0028544",1848.81484839729,-3.03453038117472,0.086545225098841,-35.0629440007703,2.47594233513003e-269,2.18378113958469e-266,"Vajk3"
"17","FBgn0000044",2376.94581450936,-2.66352109659649,0.0777253966254414,-34.2683500147577,2.32471915985786e-257,1.92225215530747e-254,"Act57B"
"3338","FBgn0030114",1246.41508937304,-3.12474018262511,0.0944967435475968,-33.0671731672025,8.81281421369595e-240,6.85844306159985e-237,"CG17754"
"2001","FBgn0022355",4591.39655753497,2.3879761019541,0.07459737718265,32.0115289858944,7.53674924980611e-225,5.53951069860749e-222,"Tsf1"
"12646","FBgn0085356",1059.29484876836,-3.59601208420896,0.11236280022552,-32.0035819416347,9.72212503081317e-225,6.76966916619254e-222,"CG34327"
"670","FBgn0003886",3276.05251155355,-2.5995095407327,0.0858646103996447,-30.2745162254117,2.48246395105908e-201,1.64214990362558e-198,"alphaTub85E"
"47","FBgn0000120",1966.25689172692,2.16408796813439,0.0800547422988651,27.0326017671169,6.11791941588491e-161,3.85428923200749e-158,"Arr1"
"6719","FBgn0035439",619.75492407147,-3.20800932607901,0.12030088880856,-26.6665471706035,1.15062231086703e-156,6.91942416944125e-154,"CG14961"
"6630","FBgn0035281",561.437871566344,-3.62239536222231,0.135911646531855,-26.6525750710649,1.67082180868469e-156,9.61085762126017e-154,"Cpr62Bc"
"9658","FBgn0039805",719.14072691314,-3.27210862409804,0.122917618897874,-26.620338511574,3.94792523839022e-156,2.17629378766261e-153,"Cpr100A"
"12327","FBgn0082582",3073.91629913046,-2.10261416701774,0.0807835879480013,-26.0277393023339,2.40403196343399e-149,1.27221371504927e-146,"tmod"
"9125","FBgn0039040",2125.49933566101,2.39620986808627,0.0923249737452023,25.9540812294115,1.63530323114686e-148,8.32117759541266e-146,"CG13833"
"4511","FBgn0031940",1463.55441259749,-2.16310204096937,0.0838075250384971,-25.8103558120318,6.78498735730293e-147,3.32464380507844e-144,"CG7214"
"2359","FBgn0026077",1380.77969589625,-2.10390870649418,0.0822906863113832,-25.5667901289961,3.5724977518974e-144,1.68800518777152e-141,"Gasp"
"4476","FBgn0031879",1081.31914257533,-2.75114787173497,0.108409336469329,-25.3774071619129,4.47939791405213e-142,2.04353222078999e-139,"uif"
"7469","FBgn0036597",483.670938729985,-3.19288256361772,0.128318712891364,-24.8824391366897,1.15271682852422e-136,5.08348121379179e-134,"CG4962"
"5671","FBgn0033820",528.76733200042,3.26116430444664,0.13275632033417,24.5650398884042,2.98756601586697e-133,1.27501607709419e-130,"CG4716"
"765","FBgn0004362",749.379871365933,2.63238318419961,0.107774321428037,24.4249571634492,9.28964186931216e-132,3.84068631034375e-129,"HmgD"
"3351","FBgn0030158",465.141995966205,-3.08247099147727,0.127641624004855,-24.1494184636826,7.572413734215e-129,3.03584950617165e-126,"CG9686"
"3784","FBgn0030830",873.75568142286,-8.01727409371404,0.333437421328791,-24.0443141077692,9.57312069951202e-128,3.72507020160424e-125,"CG5172"
"191","FBgn0000592",12832.7463405809,1.62603187184779,0.0676465623203652,24.0371693116809,1.1370492439197e-127,4.29804614201645e-125,"Est-6"
"13039","FBgn0250871",1231.93506884571,-2.21321935778364,0.0921214861744781,-24.0250070824064,1.52380804529706e-127,5.59999456646669e-125,"pot"
"8554","FBgn0038180",409.547983460609,-3.32912737439198,0.139241116529204,-23.9090827291215,2.46406325953922e-126,8.8106910604605e-124,"Cht5"
"8515","FBgn0038126",394.669432144786,-5.60221053606485,0.236399939226901,-23.698020204175,3.77921036585553e-124,1.31576192474391e-121,"CG8483"
"4740","FBgn0032285",1692.82063282507,2.72831187744602,0.115336055962643,23.6553249083678,1.04040433704186e-123,3.52937163565739e-121,"CG17108"
"462","FBgn0002940",3387.8059741734,1.89066858433265,0.0800919327914419,23.6062299714494,3.32620216092905e-123,1.10014136472728e-120,"ninaE"
"9431","FBgn0039481",547.057059237467,-2.76503761154099,0.117661404415452,-23.4999541717,4.08313807772436e-122,1.31755894556813e-119,"Cpr97Eb"
"17301","FBgn0283531",428.724990413084,-3.06073098936039,0.131558721687347,-23.2651317229602,9.99862869892563e-120,3.14956804016157e-117,"Duox"
"362","FBgn0002440",326.980278908567,-3.95832157960123,0.172411718077001,-22.9585414712554,1.21068688128008e-116,3.72497382310128e-114,"l(3)mbn"
"1582","FBgn0014859",939.267976592389,-2.24910641128524,0.0996425868507096,-22.5717384741826,8.2151781330718e-113,2.47015469773955e-110,"Hr38"
"11407","FBgn0052512",652.477241028827,-2.30444695363353,0.102103439914759,-22.5697288510298,8.5971503576619e-113,2.5275622051526e-110,"CG32512"
"129","FBgn0000404",269.645950593269,4.46774849159362,0.198349321495869,22.5246472128046,2.38047850843488e-112,6.84646318838989e-110,"CycA"
"48","FBgn0000121",2251.92629177504,1.81539830966961,0.0817896568538386,22.1959399207873,3.75910280966064e-109,1.05814745046405e-106,"Arr2"
"6377","FBgn0034903",1289.75102194732,-1.99396992135677,0.0904077758928973,-22.0552922761749,8.49809569025613e-108,2.34228762462685e-105,"sona"
"4856","FBgn0032467",1265.31095798231,-1.81225011300133,0.0824831045188592,-21.9711675933217,5.43532294969881e-107,1.46753719641868e-104,"CG9934"
"1236","FBgn0011669",343.209191594234,6.28971275458894,0.289552176546108,21.7222085139027,1.26547000904208e-104,3.34843364392534e-102,"Mst57Db"
"7316","FBgn0036368",661.601875028792,-2.38431877800331,0.11026628893874,-21.6232794351857,1.08487910391106e-103,2.81430402838104e-101,"CG10738"
"1571","FBgn0014454",772.903847347456,-2.60761978394258,0.121193337339814,-21.5161975169566,1.09807185296682e-102,2.79374819514443e-100,"Acp1"
"4103","FBgn0031313",607.375364493436,-2.18269620486291,0.10245797585627,-21.3033313084854,1.05728110385768e-100,2.63921301962965e-98,"CG5080"
"17362","FBgn0284408",8110.69472942029,-1.8296525636965,0.085955591082443,-21.286021545028,1.52976748042024e-100,3.74793032702959e-98,"trol"
"404","FBgn0002643",1584.01352669457,-1.83471550449377,0.0862491046464361,-21.2722846459088,2.05046801270291e-100,4.93230760146535e-98,"mam"
"9306","FBgn0039298",9067.57470882161,1.35460932930496,0.0639039125008343,21.1975961454203,1.0050031222317e-99,2.3743198762724e-97,"to"
"9215","FBgn0039161",338.052106768197,-3.01997620696324,0.142549341742947,-21.1854798488584,1.29994614984036e-99,3.01724343199789e-97,"CG13606"
"18","FBgn0000045",2755.28182990999,-1.5421483466673,0.0733172291872642,-21.0339147259425,3.21034900117413e-98,7.32291677336788e-96,"Act79B"
"8058","FBgn0037447",326.339855143998,-3.20721636940171,0.153882581335652,-20.8419714665824,1.802604323776e-96,4.04211105145026e-94,"Neurochondrin"
"3594","FBgn0030562",2307.45128574058,-1.49604784549588,0.0719049890546953,-20.8058976875428,3.82728205327536e-96,8.43915692747217e-94,"CG9400"
"5604","FBgn0033728",1625.65696292809,-1.9223214061745,0.0941453297122917,-20.4186592372571,1.14154340495068e-92,2.47583922090123e-90,"Cpr49Ae"
"6706","FBgn0035425",754.956309250784,-1.93778133874093,0.0949277596847238,-20.4132210132919,1.27592674577322e-92,2.72266303977093e-90,"CG17746"
"10197","FBgn0042201",2772.32521054716,-1.95018716611282,0.096048679599671,-20.3041538336723,1.18161724483156e-91,2.48139621414628e-89,"Nplp3"
"233","FBgn0001090",3449.28660443864,-1.46674145166259,0.0725120164362301,-20.2275639783442,5.60021127315153e-91,1.15766867412179e-88,"bnb"
"6689","FBgn0035398",308.85765314479,-2.92350070823368,0.147358659632549,-19.8393546434507,1.36195765698836e-87,2.77210766183939e-85,"Cht7"
"1090","FBgn0010414",2070.52978284774,-1.73349578475774,0.0874233813349587,-19.8287432753937,1.68189617675745e-87,3.37143733613653e-85,"SerT"
"12568","FBgn0085256",269.702916151287,-3.28221355578321,0.165940035122305,-19.7795158556166,4.46961033808133e-87,8.82581265265909e-85,"CG34227"
"3252","FBgn0029990",1054.50882122874,1.6530768809617,0.0835856754050212,19.7770356338163,4.69491736106141e-87,9.13437598335918e-85,"CG2233"
"5268","FBgn0033188",2537.69251918125,-1.46725428423051,0.0753547220361972,-19.4712984745097,1.92333829526133e-84,3.68779212265324e-82,"Drat"
"4513","FBgn0031942",1699.56347166165,-1.74096092221689,0.0894316490093352,-19.4669442138449,2.09396308998584e-84,3.95759024007323e-82,"CG7203"
"958","FBgn0005626",4577.69909519693,-1.53847036370844,0.0793036254082858,-19.3997481929458,7.75503043863239e-84,1.44505708032544e-81,"ple"
"660","FBgn0003861",1112.38477192687,1.69906086618477,0.0878166248732023,19.3478270047162,2.12619198726482e-83,3.9068777765991e-81,"trp"
