"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"9915","FBgn0040502",377.11284628847,-7.31501987210792,0.370123888396016,-19.7637064276196,6.11457128398378e-87,7.00607577718862e-83,"CG8343"
"48","FBgn0000121",360.864895110732,-7.68250688668599,0.412643355006481,-18.6177889295354,2.30538227552708e-77,1.32075350564946e-73,"Arr2"
"47","FBgn0000120",275.910228218483,-6.60879506718984,0.375745251413001,-17.5884992354189,3.01764081111061e-69,1.15253761379018e-65,"Arr1"
"5671","FBgn0033820",520.578678568698,-4.63746985086686,0.290221520664744,-15.9790695060961,1.78794914509091e-57,5.12158032611291e-54,"CG4716"
"10022","FBgn0040827",203.202110841727,-4.68128898549074,0.310917529274826,-15.0563687946744,3.1354197752974e-51,7.18512795707152e-48,"CG13315"
"131","FBgn0000406",196.557776694296,-5.64498262751147,0.38948987051064,-14.4932719819148,1.33622947044185e-47,2.55175287872045e-44,"Cyt-b5-r"
"7864","FBgn0037146",321.313122085333,-3.50790939677874,0.258084623607698,-13.5920898647218,4.46156502437762e-42,7.30294457847411e-39,"P5CS"
"953","FBgn0005614",107.275984460421,-5.10191439108339,0.37727739735769,-13.5229791840574,1.14445498982411e-41,1.63914565917558e-38,"trpl"
"3252","FBgn0029990",386.044787564088,-4.77775675269168,0.358987459692273,-13.3089795303357,2.05266157588109e-40,2.61326625960506e-37,"CG2233"
"8016","FBgn0037387",248.340865786663,-2.87638648507906,0.216438897636024,-13.2896005131026,2.65994532644297e-40,3.04776535503835e-37,"CG1213"
"9984","FBgn0040732",164.485488791137,-3.29028002482388,0.249038011570874,-13.2119591064415,7.48506150277472e-40,7.79671224534479e-37,"CG16926"
"1513","FBgn0013812",917.206386443268,-2.16343826295559,0.166253467144782,-13.0128911000187,1.03356460271334e-38,9.86881934824124e-36,"Dhc93AB"
"2776","FBgn0028526",109.035265748735,-5.0456461483424,0.388836697608939,-12.9762601610636,1.66829745027114e-38,1.47041170655437e-35,"CG15293"
"5175","FBgn0033027",92.6317673747127,-4.38215212272676,0.346153527995521,-12.6595622124743,9.9050163094917e-37,8.10654834815399e-34,"TpnC4"
"9654","FBgn0039800",114.558492862856,-4.86734120579327,0.386205649126755,-12.6029777575723,2.03320833864177e-36,1.55310007627716e-33,"Npc2g"
"6003","FBgn0034329",515.84120053505,-2.44723810827571,0.195030387791704,-12.5479836039161,4.07761566543481e-36,2.9200825184095e-33,"BomS1"
"6466","FBgn0035032",2545.01980502088,1.23187178497746,0.0996962349890966,12.3562518194613,4.5068542019828e-35,3.03761973213641e-32,"ATPsynF"
"848","FBgn0004623",86.068519275357,-5.90717222860967,0.487935642633191,-12.1064577220288,9.76196103830864e-34,6.21403053205225e-31,"Gbeta76C"
"13155","FBgn0259715",156.098736626565,-3.12944871161036,0.261411408386987,-11.9713547733832,5.02021357388071e-33,3.02745300681711e-30,"CG42369"
"4643","FBgn0032136",93.1795486822,-3.76494478629256,0.31704522859344,-11.8751031295932,1.5943731625087e-32,9.13416384801233e-30,"Apoltp"
"12970","FBgn0087002",663.380943460518,-2.18168514144296,0.185558826870978,-11.7573773138797,6.47133515366149e-32,3.53088372336444e-29,"apolpp"
"7092","FBgn0036022",358.933694343917,-9.99451459172262,0.852298261340458,-11.7265457939615,9.31842803710488e-32,4.85320674768853e-29,"CG8329"
"9618","FBgn0039754",99.4074382499502,-6.90279341080699,0.595609343405869,-11.5894646167483,4.66036424414633e-31,2.32167189171429e-28,"CG9747"
"907","FBgn0004885",94.0687289407598,-3.67432960234775,0.319486220204664,-11.5007451651403,1.30781435741605e-30,6.24372371136381e-28,"tok"
"511","FBgn0003137",2436.5406599027,-2.80660953056938,0.256583039523171,-10.9384062788606,7.55156793818835e-28,3.46103461743048e-25,"Ppn"
"2803","FBgn0028573",74.2825552513884,-4.74289583905998,0.43879037404459,-10.8090243533419,3.1197030510061e-27,1.37482913686261e-24,"prc"
"9023","FBgn0038879",97.4474541058673,-7.37117054168379,0.693495477651791,-10.6290102520105,2.18418090739599e-26,9.26901660627528e-24,"CG17298"
"5672","FBgn0033821",70.6516337434786,-5.58437307511768,0.531116043473598,-10.5144123280382,7.41415763727274e-26,3.01684196507165e-23,"CG10799"
"7087","FBgn0036015",379.053244929667,-12.5013558570982,1.18928714678317,-10.5116379092403,7.6355748810506e-26,3.01684196507165e-23,"CG3088"
"3617","FBgn0030593",107.206956353853,-4.17782844154581,0.400432377391006,-10.4332933035191,1.74725288732262e-25,6.67334119431418e-23,"CG9512"
"805","FBgn0004449",878.998586264995,-1.71308704326432,0.165337134642679,-10.3611753461591,3.723580108332e-25,1.37628325423445e-22,"Ten-m"
"16746","FBgn0267435",115.809388013581,-7.95582037628233,0.76851838680407,-10.3521535891511,4.09176526970747e-25,1.42229393710705e-22,"chp"
"17553","FBgn0287423",356.134506181962,-3.69446189868348,0.356882258342943,-10.3520469631565,4.09632570470698e-25,1.42229393710705e-22,"Nplp2"
"11642","FBgn0053196",4011.75866706996,-1.67339324201821,0.161809667614541,-10.3417383317573,4.56186352884765e-25,1.53734800922166e-22,"dpy"
"4558","FBgn0032010",3105.75467607587,-1.24004948634901,0.123073288489984,-10.0756996222615,7.07554262500321e-24,2.31633049706534e-21,"CG8086"
"1492","FBgn0013733",11862.1106350301,-1.33421988568747,0.133226591185314,-10.0146665452965,1.31404279530609e-23,4.18230620794922e-21,"shot"
"734","FBgn0004167",2828.47351687793,-1.63345249950337,0.164147763576181,-9.95111029182731,2.49385129788243e-23,7.72285085706403e-21,"kst"
"13698","FBgn0261797",2743.87600669227,-1.11674862397469,0.112291619978419,-9.94507536884156,2.64973372591839e-23,7.98964448199286e-21,"Dhc64C"
"460","FBgn0002938",254.019756030955,-4.45991970007854,0.451674708155148,-9.87418515925974,5.38689864757007e-23,1.58264319753482e-20,"ninaC"
"12929","FBgn0086680",790.106437376991,-1.88578660078572,0.193672585421484,-9.73698263325056,2.09688125713329e-22,6.0065163610583e-20,"vvl"
"6196","FBgn0034618",500.923166366287,-1.76543559638458,0.182321851679346,-9.6830718870138,3.55859587553154e-22,9.94497354679035e-20,"CG9485"
"2405","FBgn0026268",39223.6942846362,1.34101036364433,0.140275140133788,9.55985759390673,1.17918846775963e-21,3.21693844371187e-19,"antdh"
"1581","FBgn0014857",1398.34128463515,1.15001036735564,0.12056744707231,9.5383156505414,1.45170872967209e-21,3.86829735455415e-19,"His3.3A"
"7335","FBgn0036398",1927.34027998749,-1.22629240891768,0.129546175405029,-9.46606416656951,2.90586912245066e-21,7.56714736478175e-19,"upSET"
"17247","FBgn0270925",54.7523979077425,-4.09098843113608,0.433776222488773,-9.43110345621114,4.05797157197386e-21,1.03324973937059e-18,"CG4836"
"6788","FBgn0035546",102.354930367,-8.17946364230731,0.867931555226917,-9.42408833167591,4.33858052856548e-21,1.08068381948485e-18,"CG11345"
"5526","FBgn0033602",208.69778068495,-3.22015616963236,0.342071681928345,-9.41368824066208,4.7902619727432e-21,1.16780471667429e-18,"Cpr47Ee"
"2259","FBgn0025583",221.227794293403,-1.84593506547217,0.197358315424005,-9.35321656706662,8.50219181303819e-21,2.02954403737066e-18,"BomS2"
"16016","FBgn0266557",4237.5087808558,-1.00605067704008,0.107966277759672,-9.31819358707082,1.1833780403674e-20,2.76717256867954e-18,"kis"
"10705","FBgn0051092",714.784722116543,-1.17125241059627,0.125977355112753,-9.29732497993759,1.44023476360717e-20,3.3004419842822e-18,"LpR2"
"1072","FBgn0010383",66.1510373194569,-3.71838273975731,0.402798820027267,-9.23136452958227,2.67205898942688e-20,6.0032258629124e-18,"Cyp18a1"
"10253","FBgn0043884",3313.08413291829,-1.06805330673739,0.116322197269213,-9.18185292068992,4.23736320927837e-20,9.33686685613684e-18,"mask"
"3438","FBgn0030317",55.4863166124598,-5.09664694775691,0.555456683333297,-9.17559748704782,4.4907706219024e-20,9.70853769542598e-18,"CG1561"
"11589","FBgn0053087",561.926858576622,-1.30466931270296,0.142331592201734,-9.16640706761564,4.89047417713634e-20,1.03768616891904e-17,"LRP1"
"2072","FBgn0023479",380.761850138009,-2.44619468344664,0.267092788116937,-9.15859503617771,5.25773552094147e-20,1.09532970179904e-17,"teq"
"8347","FBgn0037873",1983.51128250805,1.1026140649038,0.120949532993626,9.11631519041836,7.77219784658539e-20,1.59024719511027e-17,"SdhC"
