"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"17","FBgn0000044",2745.68101843609,-4.13507381667301,0.0941317911895736,-43.9285576574795,0,0,"Act57B"
"18","FBgn0000045",2816.36352763037,-3.86780613704248,0.0862778856262035,-44.8296351836859,0,0,"Act79B"
"20","FBgn0000047",3914.35459049218,-4.86933167807239,0.101146962806307,-48.1411556311086,0,0,"Act88F"
"36","FBgn0000092",2198.69900083194,-5.53274536244407,0.124091710329015,-44.5859384786834,0,0,"dyw"
"47","FBgn0000120",4411.17874729811,-8.51266978960262,0.215336607695949,-39.531921119619,0,0,"Arr1"
"418","FBgn0002772",2287.72254468682,-3.79357293889128,0.0971483509655247,-39.0492777405714,0,0,"Mlc1"
"419","FBgn0002773",7542.51670238522,-4.16284871582679,0.0703372601759445,-59.1841181390016,0,0,"Mlc2"
"460","FBgn0002938",5114.28090415277,-8.58427938174087,0.209939679350906,-40.8892659466845,0,0,"ninaC"
"462","FBgn0002940",20888.748631898,-10.35143664722,0.189318767029721,-54.6772874640311,0,0,"ninaE"
"516","FBgn0003149",2100.92165092587,-3.42034182110642,0.0835540596868261,-40.9356748663848,0,0,"Prm"
"729","FBgn0004117",2198.79420551072,-3.39084738264539,0.0835042467099139,-40.6068854728417,0,0,"Tm2"
"938","FBgn0005391",3714.42611058084,-6.70307733294265,0.143586979513496,-46.6830443516126,0,0,"Yp2"
"2359","FBgn0026077",1768.94695266825,-3.90660206728166,0.0979388326641091,-39.8881828689928,0,0,"Gasp"
"2460","FBgn0026439",2611.04181193447,-3.18222563024472,0.0770762957090451,-41.2866965254439,0,0,"Eaat1"
"2678","FBgn0027843",11482.6178389697,-2.4372582697307,0.0583605460765802,-41.762088149973,0,0,"CAH2"
"2753","FBgn0028482",4426.15635850312,-3.28859846635589,0.0817704011385892,-40.217467696926,0,0,"bdl"
"3158","FBgn0029851",2926.74566461237,-4.41622476795057,0.0954718458794201,-46.2568281494024,0,0,"CG14445"
"3470","FBgn0030357",1715.79926094026,-5.33737208976597,0.133148483086238,-40.0858647883284,0,0,"Sclp"
"4087","FBgn0031289",1874.01776925803,-6.17515853630138,0.157606285221106,-39.180915454217,0,0,"CG13950"
"4513","FBgn0031942",6607.26175843918,-3.61924080555721,0.0690372386569098,-52.4244722988347,0,0,"CG7203"
"4671","FBgn0032181",3712.41818116881,-5.42034629979318,0.103176982719071,-52.5344525198189,0,0,"CG13133"
"5077","FBgn0032835",4609.44203772766,-3.12230987531696,0.0664345362701394,-46.9982941195054,0,0,"CG16772"
"5319","FBgn0033268",2333.47881758377,-6.38369507899914,0.151997454569547,-41.998697261593,0,0,"Obp44a"
"5343","FBgn0033308",2134.95586664816,-3.61152550066274,0.0891071061298927,-40.5301626045197,0,0,"CG8736"
"5604","FBgn0033728",2074.2804920335,-3.32770176274226,0.0824563989526863,-40.357107574534,0,0,"Cpr49Ae"
"6070","FBgn0034439",1394.84168900996,-4.14868777432824,0.108386832558888,-38.2766769392785,0,0,"CG10062"
"6134","FBgn0034515",2880.46797721374,5.82409712211474,0.0942656645188491,61.7838653325376,0,0,"CG13428"
"6963","FBgn0035817",5653.66552620652,-4.85339935088135,0.10090551548622,-48.0984545541927,0,0,"CG7409"
"7159","FBgn0036143",3972.61273527524,-3.91351408480066,0.0790612050440737,-49.4998031287156,0,0,"CG14142"
"7875","FBgn0037166",1843.25638757336,-3.9358636519947,0.0928270829415237,-42.3999497482226,0,0,"CG11426"
"9658","FBgn0039805",1996.04668646075,-3.86310327069828,0.0992147284075775,-38.9367922757246,0,0,"Cpr100A"
"10197","FBgn0042201",9213.4527143081,-4.03205351904478,0.067023274430063,-60.1590052609578,0,0,"Nplp3"
"10407","FBgn0050052",1098.58584528811,3.88756495211373,0.0907093099176069,42.8573975002663,0,0,"Obp49a"
"10771","FBgn0051216",5550.22915943681,-3.99106172268411,0.073573842070958,-54.2456613701776,0,0,"Naam"
"12327","FBgn0082582",4637.29303843409,-3.01100642528173,0.0685947471465252,-43.8955831246075,0,0,"tmod"
"13375","FBgn0260653",2059.58813247656,-4.15981873762525,0.100706430977459,-41.3063862679867,0,0,"serp"
"14810","FBgn0264695",9147.36043965525,-3.67411912831988,0.0774117771458085,-47.4620175868009,0,0,"Mhc"
"15184","FBgn0265356",3520.97688503268,-4.9178616232875,0.110580557292478,-44.4731130290843,0,0,"tn"
"17553","FBgn0287423",2390.90230049664,-5.52655001703146,0.135928574718187,-40.6577500609371,0,0,"Nplp2"
"13975","FBgn0262679",1522.99149057452,-5.56783034013624,0.148608056297181,-37.4665444045773,3.23069693568302e-307,1.04504969127007e-304,"CG43149"
"1716","FBgn0015777",11111.0170759033,-2.48997619202903,0.0677294509952423,-36.7635667415042,7.05848579776512e-296,2.22755482286056e-293,"nrv2"
"3252","FBgn0029990",1284.38868945187,-4.65553630090952,0.127210714980369,-36.5970453167247,3.18695266735528e-293,9.81809061021667e-291,"CG2233"
"8980","FBgn0038820",1664.47847637706,-3.02708277657228,0.0828732126502746,-36.5266734541424,4.18425261271234e-292,1.25907080362523e-289,"CG4000"
"1955","FBgn0020908",2319.14477598971,-3.94392562611384,0.108231735671202,-36.4396413090439,1.00375436486463e-290,2.95172221067806e-288,"Scp1"
"19","FBgn0000046",1814.29359514181,-3.18375998791094,0.0876012114839732,-36.3437894747999,3.29367790249702e-289,9.4704218623131e-287,"Act87E"
"13536","FBgn0261341",2905.17802088064,-3.31840488318549,0.0925599979237782,-35.851393232724,1.74938181756628e-281,4.92070681249785e-279,"verm"
"162","FBgn0000527",1661.89073933878,-4.01688421465867,0.112130389504119,-35.8233323938565,4.78588390659624e-281,1.31754365675423e-278,"e"
"2790","FBgn0028544",2384.62677158151,-2.53617006666882,0.0710891076095041,-35.6759305602784,9.33880710411465e-279,2.5173921900029e-276,"Vajk3"
"1571","FBgn0014454",2131.17154962656,-3.1133575361791,0.0884610452845593,-35.1946727077906,2.41228617708447e-271,6.36991241740735e-269,"Acp1"
"7035","FBgn0035934",552.951489175973,4.5180501674765,0.128644032165601,35.1205578013948,3.27329744155086e-270,8.47063911924533e-268,"TrpA1"
"48","FBgn0000121",5559.94058721796,-9.60457696437067,0.27515879225239,-34.9055790140293,6.11802651267632e-267,1.55217931465723e-264,"Arr2"
"5582","FBgn0033697",2442.04044277484,2.42689484495318,0.0708265336161063,34.2653342052207,2.57803986982741e-257,6.41485728378785e-255,"Cyp6t3"
"736","FBgn0004169",3097.83571657362,-3.02296370553245,0.088687862926951,-34.0854273151486,1.21278069889007e-254,2.9607866911205e-252,"up"
"4908","FBgn0032538",2854.26590940898,-2.80411126464222,0.0829326121362026,-33.8119250366423,1.31739750651456e-250,3.15663080310962e-248,"Vajk2"
"99","FBgn0000299",2824.56665764021,-3.56142475440963,0.105469630172845,-33.7673010569309,5.95840930512894e-250,1.40174287271024e-247,"Col4a1"
"5836","FBgn0034075",1809.0587006205,-2.54924848350313,0.0770876480172687,-33.0694806375732,8.16480616663508e-240,1.88650762482306e-237,"Asph"
"12970","FBgn0087002",1527.93704611239,-3.07642084252316,0.0934602084281364,-32.9169054324192,1.25940186630488e-237,2.85884223651209e-235,"apolpp"
"242","FBgn0001114",992.916883564444,-4.68385135563597,0.142488206733234,-32.8718527871227,5.55102607391661e-237,1.23835735121391e-234,"Glt"
"1761","FBgn0016075",1601.21825621963,-3.42479638169524,0.104918154294026,-32.642552709205,1.02209923974081e-233,2.24151560389938e-231,"vkg"
"8857","FBgn0038631",1762.72010931047,2.66259365674682,0.0818022576994115,32.5491463393434,2.15285248088507e-232,4.64262637502866e-230,"CG7695"
"8554","FBgn0038180",1228.58570103468,-6.22300134187319,0.191769013657863,-32.4505050277608,5.32846632332624e-231,1.13024632389374e-228,"Cht5"
"2690","FBgn0027932",1325.51969807358,-2.92850276003132,0.0905816860233849,-32.3299652346423,2.65360724076953e-229,5.53790711101885e-227,"Akap200"
"7668","FBgn0036875",9404.56486619993,1.69578017639667,0.0535192930087595,31.6853994337916,2.4689942822991e-220,5.07084397121714e-218,"CG9449"
"1954","FBgn0020907",921.556073841899,-4.83601652259947,0.152733202686815,-31.6631645086098,4.99674539072683e-220,1.01020138454085e-217,"Scp2"
"8555","FBgn0038181",2028.51625309999,-2.82531995543032,0.0892567634736729,-31.6538472321335,6.71303763960607e-220,1.3363076002902e-217,"CG9297"
"9215","FBgn0039161",881.571421926125,-3.62680960412136,0.114713080296529,-31.6163561709457,2.20049590330221e-219,4.31397219588293e-217,"CG13606"
"3338","FBgn0030114",1881.88680304846,-3.3502454297151,0.10608053147193,-31.582095067101,6.50381659993855e-219,1.25601317890455e-216,"CG17754"
"7597","FBgn0036783",480.004088951211,5.44015410160893,0.172365284479038,31.5617736950421,1.23618679226474e-218,2.35220895663433e-216,"CheA75a"
"1024","FBgn0010226",2313.08917042679,-2.34001627567377,0.0746480311937409,-31.3473274278395,1.05801141008572e-215,1.98400139639119e-213,"GstS1"
"4103","FBgn0031313",957.183907515169,-4.15148317085927,0.132895179768737,-31.2387791497303,3.17108815974128e-214,5.86152995698463e-212,"CG5080"
"13615","FBgn0261565",2650.91112244747,-2.0425114871697,0.0655993802350243,-31.1361400039444,7.81330635831191e-213,1.42389254887603e-210,"Lmpt"
"3594","FBgn0030562",2119.95998622748,-2.2516969568153,0.0728758794055337,-30.8976985963386,1.28258471459932e-209,2.30491161419453e-207,"CG9400"
"6637","FBgn0035293",4518.42867446319,-1.99358636544914,0.0650006183407878,-30.6702677041792,1.41867495794753e-206,2.51455277820317e-204,"CG5687"
"4344","FBgn0031689",830.88578527206,-3.45979841005866,0.113798654526674,-30.4028059422064,5.04331743670766e-203,8.81830869102168e-201,"Cyp28d1"
"9931","FBgn0040532",6463.60013493016,-2.56957268138417,0.0845243575625133,-30.4003810911398,5.42958667669489e-203,9.36712293463402e-201,"CG8369"
"17283","FBgn0283471",2369.35649308635,-3.04264293022376,0.100123977673806,-30.3887540318902,7.73413898897901e-203,1.31673716287368e-200,"wupA"
"9156","FBgn0039081",1248.72336968856,-2.8163701379973,0.0933892314115144,-30.1573328683595,8.59636751058407e-200,1.44452466518763e-197,"Irk2"
"8326","FBgn0037835",1903.90868522462,-2.18186003866936,0.0741212680859605,-29.436356055579,1.8822467280743e-190,3.12235774545556e-188,"CG14687"
"711","FBgn0004045",1203.98823554283,-6.85173972932276,0.233396180859554,-29.3566917165872,1.96293232600191e-189,3.21498498305553e-187,"Yp1"
"3617","FBgn0030593",1241.93919828858,-6.93206907114087,0.236235324687175,-29.3439140836384,2.8573687436721e-189,4.62143677179666e-187,"CG9512"
"9431","FBgn0039481",729.697187774387,-3.98196569879408,0.135727870453818,-29.3378632220489,3.41318061322736e-189,5.45223999438875e-187,"Cpr97Eb"
"427","FBgn0002789",1213.10357015737,-2.62953681039814,0.0898397772884211,-29.2691822015129,2.55996527479102e-188,4.03943788908793e-186,"Mp20"
"16632","FBgn0267252",6140.15567142307,-2.25947126660862,0.0774000443796836,-29.1921184892976,2.44161887829384e-187,3.80627791159566e-185,"Ggamma30A"
"56","FBgn0000153",850.640055495099,-3.17714424610476,0.110091773220595,-28.8590523447979,3.90090550968042e-183,6.00878766544702e-181,"b"
"13052","FBgn0259110",886.528707627725,-3.37074073362609,0.117995817387437,-28.5666120059013,1.74685886429034e-179,2.65913021706503e-177,"mmd"
"660","FBgn0003861",2840.5151706808,-9.03170698632623,0.316521093290453,-28.5342973273454,4.39974722373732e-179,6.61957317766711e-177,"trp"
"6117","FBgn0034497",1169.73945215033,-2.93891657304669,0.103227302268375,-28.4703417455003,2.72940274445861e-178,4.05928070236206e-176,"Mpcp1"
"3081","FBgn0029720",660.207389834369,-4.63195723253618,0.163728936891342,-28.2904007103531,4.5359326079268e-176,6.66936727431419e-174,"CG3009"
"814","FBgn0004513",1429.45565351073,-2.24220960486712,0.0793437573128754,-28.2594331400949,1.08996283676924e-175,1.58461001628732e-173,"Mdr65"
"3402","FBgn0030261",779.219466623987,-3.27768403139505,0.11677366714342,-28.0686914402495,2.36266473635285e-173,3.39672433596328e-171,"CG15203"
"3190","FBgn0029896",2848.37622123696,-1.95458559148964,0.0697064775067964,-28.040228991618,5.25563440633357e-173,7.4728190751154e-171,"CG3168"
"3351","FBgn0030158",1113.42170441811,-6.88580006187675,0.245854447725479,-28.0076286013155,1.31188758765076e-172,1.84505581484926e-170,"CG9686"
"4503","FBgn0031925",2329.79557482267,2.57154866794905,0.0923122475898166,27.8570691873472,8.84397487982795e-171,1.2304536663451e-168,"Cyp4d21"
"6182","FBgn0034588",757.393608695885,-5.67312246396465,0.203927065419806,-27.819369892299,2.52940307772018e-170,3.48169642793845e-168,"CG9394"
"5630","FBgn0033760",2468.01015609106,-1.94528895480741,0.0699656084773457,-27.8035022797991,3.93477422864494e-170,5.35916249941441e-168,"CG8785"
"1892","FBgn0020378",6037.21972017354,1.75283557902915,0.0630702503578277,27.7917967517883,5.45024022076173e-170,7.34590189754542e-168,"Sp1"
"1012","FBgn0010114",1027.39241413749,-3.24701950560965,0.11723761220278,-27.6960562792208,7.78916125287953e-169,1.03900987062895e-166,"hig"
"670","FBgn0003886",2419.99084663142,-8.79959893144225,0.318100663151299,-27.6629380280696,1.950406899375e-168,2.57513417051154e-166,"alphaTub85E"
"5117","FBgn0032895",606.966070219764,-4.55023341143342,0.164804283928415,-27.6099219205361,8.45812325655608e-168,1.10545107895534e-165,"twit"
"9566","FBgn0039682",877.87884774401,-6.25790499449582,0.226941544647861,-27.5749643116515,2.22191997106354e-167,2.87494225055911e-165,"Obp99c"
"10022","FBgn0040827",609.719837149379,-4.51504944328352,0.163899444884078,-27.5476798989583,4.717851589493e-167,6.04398828875742e-165,"CG13315"
"6253","FBgn0034709",814.904195717518,-2.9235945248357,0.10654080839666,-27.4410769810468,8.87835662680117e-166,1.12624565092334e-163,"Swim"
"9306","FBgn0039298",10481.6747203147,1.70762668104305,0.0622511069597563,27.4312661162312,1.16248574647867e-165,1.46033039550365e-163,"to"
"8016","FBgn0037387",713.619253752544,-3.12597804170428,0.114006773113866,-27.419230948517,1.6177976339963e-165,2.01275803714213e-163,"CG1213"
"3151","FBgn0029837",587.809610537073,-4.07382074100641,0.148628822058405,-27.4093589963699,2.12136022309462e-165,2.61412189777345e-163,"Tsp5D"
"4529","FBgn0031971",1743.4412257525,-3.22724891592894,0.117813678987966,-27.3928201177605,3.33957241415344e-165,4.07648372327655e-163,"Sirup"
"3980","FBgn0031110",1082.12287449429,2.43012552231797,0.0890288687309162,27.2959272307825,4.7410897429018e-164,5.73317384891649e-162,"Obp19b"
"6781","FBgn0035539",662.218244395507,-4.59887700453164,0.168891466843238,-27.2297771491335,2.88504851300858e-163,3.45644839905723e-161,"slow"
"8528","FBgn0038142",467.796642579761,7.02547458304709,0.25926205443188,27.0979669525568,1.0404842166378e-161,1.23512158523637e-159,"CheA87a"
"4316","FBgn0031645",1148.21613199142,-2.28799272684861,0.0855661106968004,-26.7394732355664,1.63692449275265e-157,1.92546963742969e-155,"CG3036"
"712","FBgn0004047",2974.90199090296,-9.4717321820935,0.356087463632668,-26.5994542056227,6.88745769898967e-156,8.02854190695742e-154,"Yp3"
"1797","FBgn0016930",1324.45186382421,-2.38993336303635,0.0906439525554285,-26.3661644892958,3.349791303511e-153,3.86990622108294e-151,"Dyrk2"
"3131","FBgn0029814",1035.49746293354,-2.76730297850338,0.105016553009308,-26.3511122694924,4.98395367870308e-153,5.70684749103887e-151,"CG15765"
"17303","FBgn0283536",9145.19064606551,-1.37415911340729,0.052364106294255,-26.2423864485595,8.73114713257207e-152,9.9098519954693e-150,"Vha13"
"233","FBgn0001090",3917.88845104176,-2.35510926394543,0.0899272872596205,-26.1890393418209,3.54264333633061e-151,3.98593583728538e-149,"bnb"
"3397","FBgn0030251",864.464664681754,-2.81889100368717,0.108070887820188,-26.0837220878332,5.5784877495194e-150,6.22241836129583e-148,"CG2145"
"16746","FBgn0267435",2472.88691573997,-9.11908295926379,0.349844146772104,-26.0661298564019,8.83133832772535e-150,9.76655441217422e-148,"chp"
"5591","FBgn0033710",782.390125948578,-2.82443845252644,0.108477176955847,-26.0371677415247,1.88012974614742e-149,2.06161006655945e-147,"CG17739"
"7707","FBgn0036927",1363.27251712292,-2.03924163551618,0.0786147750097464,-25.9396740022898,2.37786833735079e-148,2.58548221991444e-146,"Gabat"
"8698","FBgn0038397",2698.89478910373,-3.12116315781439,0.121078943464949,-25.7779186743394,1.56842056845298e-146,1.69114947793442e-144,"CG10185"
"17170","FBgn0267910",5531.64268037641,-3.10763449172649,0.120796250222138,-25.7262496643042,5.94561633111895e-146,6.35787848829323e-144,"lncRNA:CR34335"
"7864","FBgn0037146",548.359467594211,-3.49369827885303,0.136659601398709,-25.564967577068,3.74316389600992e-144,3.96990144676003e-142,"P5CS"
"5519","FBgn0033593",291.633392037105,5.28439070048199,0.207775392813131,25.4331883527453,1.08346255234993e-142,1.13974975324031e-140,"Listericin"
"12298","FBgn0066292",256.646698815457,4.82610715018069,0.190578398457563,25.3234741672747,1.76164786621569e-141,1.83822272104555e-139,"CheB42c"
"4453","FBgn0031850",664.855967099605,-2.79581442617585,0.110421540848817,-25.319465791586,1.95014832309858e-141,2.0186375322058e-139,"Tsp"
"7129","FBgn0036094",1542.28435332713,-1.92553320194605,0.0760835549664079,-25.30813922662,2.59885229327815e-141,2.66877379545444e-139,"CG14153"
"2464","FBgn0026562",2102.19258250221,-1.78475934523626,0.0707273829664412,-25.2343472977517,1.68238013609325e-140,1.71404067566224e-138,"SPARC"
"958","FBgn0005626",5699.80939278601,-1.57555420583945,0.0626159874594415,-25.1621713521644,1.03996599140664e-139,1.05125937209457e-137,"ple"
"131","FBgn0000406",511.064426184486,-4.17858360775988,0.166273759953684,-25.1307458791083,2.2948629982055e-139,2.30180095610705e-137,"Cyt-b5-r"
"9893","FBgn0040383",513.146806940663,-3.82477714495965,0.152482016516072,-25.0834638231355,7.5358073232786e-139,7.50044699660783e-137,"CG5254"
"2538","FBgn0027108",2065.68804345736,-2.06730425618325,0.0825159878357152,-25.0533782653022,1.60395853154951e-138,1.58424575875719e-136,"Inx2"
"2489","FBgn0026721",666.125641544144,-3.08690506046963,0.123619589040287,-24.9710024473842,1.26310400262005e-137,1.23812899165915e-135,"fat-spondin"
