"geneid","symbol","Level Control DPE1","Level Control DPE4","Level Control DPE14","FC Control DPE4/DPE1","pvalue Control DPE4/DPE1","FC Control DPE14/DPE4","pvalue Control DPE14/DPE4","genecat"
"FBgn0030985","Obp18a",1.08,1.03,1.13,-0.395,0.0291,0.459,0.0699,"OBP"
"FBgn0031109","Obp19a",3.1,3.35,3.57,0.584,6.18e-29,0.878,1.38e-25,"OBP"
"FBgn0031110","Obp19b",1.5,2.29,2.42,2.43,4.74e-164,0.632,0.00821,"OBP"
"FBgn0011280","Obp19d",4.24,4.31,4.43,0.0122,0.859,0.533,1.9e-07,"OBP"
"FBgn0011283","Obp28a",3.53,3.39,3.64,-0.695,7.26e-34,0.989,4.68e-11,"OBP"
"FBgn0050052","Obp49a",1.13,2.34,2.3,3.89,0,0.00146,0.99,"OBP"
"FBgn0034468","Obp56a",0.508,1.69,1.88,4.14,5.62e-114,1.06,0.123,"OBP"
"FBgn0034470","Obp56d",2.66,3.01,3.04,0.94,1.5e-29,0.368,0.442,"OBP"
"FBgn0034474","Obp56g",0.487,1.64,1.67,4.18,1.35e-96,0.3,0.317,"OBP"
"FBgn0043535","Obp57a",1.17,1.19,1.32,-0.18,0.317,0.719,0.0802,"OBP"
"FBgn0043534","Obp57b",2.15,1.84,1.82,-1.28,5.12e-25,0.0422,0.811,"OBP"
"FBgn0034509","Obp57c",2.73,2.24,2.3,-1.86,4.81e-73,0.319,0.0461,"OBP"
"FBgn0034766","Obp59a",2.8,2.91,3.11,0.157,0.00449,0.769,2.01e-18,"OBP"
"FBgn0011279","Obp69a",3.01,3.15,3.21,0.242,0.016,0.368,0.134,"OBP"
"FBgn0011281","Obp83a",3.71,3.89,4.15,0.377,2.47e-10,1.02,8.44e-10,"OBP"
"FBgn0010403","Obp83b",3.4,3.77,3.82,0.991,1.97e-19,0.325,0.102,"OBP"
"FBgn0011282","Obp84a",1.01,1.29,1.39,0.755,4.76e-06,0.462,0.0365,"OBP"
"FBgn0041250","Gr21a",1.45,1.64,1.6,0.436,0.000355,-0.0161,0.924,"Receptor"
"FBgn0041247","Gr28a",0.154,0.52,0.168,2.16,3.2e-05,-2.02,0.024,"Receptor"
"FBgn0045495","Gr28b",0.984,1.01,0.996,-0.169,0.44,0.0818,0.805,"Receptor"
"FBgn0264556","Gr39a",0.323,0.731,0.453,1.7,1.08e-05,-1.09,0.0558,"Receptor"
"FBgn0041243","Gr43a",0.325,0.744,0.722,1.76,7.77e-07,0.193,0.726,"Receptor"
"FBgn0035167","Gr61a",0.328,0.586,0.462,1.14,0.00511,-0.261,0.721,"Receptor"
"FBgn0035468","Gr63a",1.88,1.83,1.8,-0.405,5.04e-06,0.0623,0.747,"Receptor"
"FBgn0045479","Gr64a",0.334,0.603,0.607,1.24,0.00341,0.12,0.839,"Receptor"
"FBgn0052255","Gr64f",0.912,1.55,1.59,2.03,1.59e-45,0.291,0.212,"Receptor"
"FBgn0041229","Gr93a",0.523,0.822,0.729,1.06,0.000337,-0.276,0.475,"Receptor"
"FBgn0031209","Ir21a",0.438,0.682,0.535,0.84,0.0232,-0.526,0.251,"Receptor"
"FBgn0031634","Ir25a",1.93,2.47,2.47,1.57,1.48e-119,0.135,0.231,"Receptor"
"FBgn0051718","Ir31a",1.52,1.63,1.45,0.133,0.255,-0.407,0.145,"Receptor"
"FBgn0259683","Ir40a",1.34,1.78,1.71,1.26,6.57e-32,-0.101,0.551,"Receptor"
"FBgn0040849","Ir41a",0.714,1.1,0.946,1.24,4.95e-09,-0.418,0.15,"Receptor"
"FBgn0050081","Ir51b",0.419,0.776,0.703,1.38,0.000245,-0.234,0.65,"Receptor"
"FBgn0034994","Ir60a",0.986,0.591,0.631,-1.8,1.88e-10,0.305,0.546,"Receptor"
"FBgn0053971","Ir62a",0.749,1.08,0.967,1.08,9.91e-06,-0.307,0.415,"Receptor"
"FBgn0035604","Ir64a",1.64,2.02,1.94,1.07,6.07e-35,-0.117,0.393,"Receptor"
"FBgn0036757","Ir75a",1.63,2.03,2.1,1.12,3.66e-40,0.379,0.00108,"Receptor"
"FBgn0261402","Ir75b",1.21,1.59,1.7,1.11,2.16e-17,0.514,0.0146,"Receptor"
"FBgn0261401","Ir75c",0.953,1.32,1.43,1.11,1.23e-10,0.513,0.038,"Receptor"
"FBgn0036829","Ir75d",0.83,1.08,1.1,0.689,0.000573,0.214,0.386,"Receptor"
"FBgn0260874","Ir76a",1.31,1.66,1.59,0.991,6.89e-18,-0.0997,0.556,"Receptor"
"FBgn0036937","Ir76b",1.69,2.32,2.31,1.89,1.96e-92,0.144,0.446,"Receptor"
"FBgn0037501","Ir84a",0.914,1.32,1.28,1.3,6.6e-11,-5.29e-05,1,"Receptor"
"FBgn0052704","Ir8a",1.53,2.1,2.17,1.74,8.47e-58,0.349,0.00796,"Receptor"
"FBgn0038789","Ir92a",0.803,1.18,1.14,1.23,4.9e-10,-0.0181,0.951,"Receptor"
"FBgn0259215","Ir93a",0.779,1.07,0.974,0.923,4.37e-05,-0.237,0.479,"Receptor"
"FBgn0030715","Or13a",1.22,1.47,1.37,0.666,6.62e-07,-0.224,0.244,"Receptor"
"FBgn0041626","Or19a",0.183,0.427,0.71,1.51,0.0058,1.62,0.018,"Receptor"
"FBgn0062565","Or19b",0.544,0.984,0.945,1.63,6.71e-10,-0.0226,0.946,"Receptor"
"FBgn0026398","Or22a",1.26,1.55,1.63,0.736,2.22e-07,0.469,0.105,"Receptor"
"FBgn0026397","Or22b",1.65,2.07,2.11,1.2,3.44e-43,0.253,0.0264,"Receptor"
"FBgn0026395","Or23a",0.765,0.897,1.01,0.328,0.222,0.623,0.223,"Receptor"
"FBgn0023523","Or2a",0.642,0.85,1.03,0.618,0.02,0.82,0.0247,"Receptor"
"FBgn0026392","Or33a",0.401,0.665,0.572,0.985,0.0066,-0.288,0.544,"Receptor"
"FBgn0028946","Or35a",1.25,1.56,1.5,0.792,9.37e-08,-0.0506,0.802,"Receptor"
"FBgn0033043","Or42b",1.98,2.05,2.12,-0.00316,0.969,0.373,0.0292,"Receptor"
"FBgn0026389","Or43a",0.916,1.53,1.57,1.9,6.35e-35,0.31,0.2,"Receptor"
"FBgn0026393","Or43b",1.19,1.62,1.58,1.29,2.21e-27,-0.00937,0.954,"Receptor"
"FBgn0026386","Or47a",1.45,1.69,1.71,0.572,6e-08,0.198,0.209,"Receptor"
"FBgn0026385","Or47b",1.47,2.06,1.97,1.77,2.21e-82,-0.148,0.359,"Receptor"
"FBgn0028963","Or49b",0.935,1.18,1.02,0.676,0.000202,-0.437,0.118,"Receptor"
"FBgn0034473","Or56a",1.4,1.58,1.57,0.419,0.000358,0.0844,0.611,"Receptor"
"FBgn0034865","Or59b",1.79,2.21,2.28,1.2,1.38e-35,0.376,0.0105,"Receptor"
"FBgn0041625","Or65a",0.991,1.17,0.98,0.421,0.0272,-0.371,0.443,"Receptor"
"FBgn0041624","Or65b",0.968,1.22,1.04,0.671,0.000115,-0.387,0.324,"Receptor"
"FBgn0041623","Or65c",0.55,0.599,0.676,0.124,0.748,0.824,0.307,"Receptor"
"FBgn0036009","Or67a",1.27,1.48,1.53,0.483,0.0013,0.312,0.221,"Receptor"
"FBgn0036019","Or67b",0.861,1.18,1.06,0.985,1.87e-07,-0.313,0.258,"Receptor"
"FBgn0036078","Or67c",1.01,1.34,1.22,0.968,2.57e-10,-0.29,0.18,"Receptor"
"FBgn0036080","Or67d",1.38,1.82,1.7,1.26,4e-27,-0.287,0.0757,"Receptor"
"FBgn0041622","Or69a",1.02,1.04,1,-0.162,0.401,0.0513,0.897,"Receptor"
"FBgn0030016","Or7a",1.29,1.56,1.74,0.741,3.24e-09,0.715,2.97e-06,"Receptor"
"FBgn0041621","Or82a",1.03,1.24,1.22,0.552,0.00404,0.0507,0.874,"Receptor"
"FBgn0037399","Or83c",0.746,1.15,1.05,1.32,3.2e-10,-0.244,0.397,"Receptor"
"FBgn0037576","Or85a",1.13,1.35,1.29,0.544,0.000159,-0.0637,0.799,"Receptor"
"FBgn0037590","Or85b",1.23,1.55,1.55,0.861,3.2e-12,0.149,0.499,"Receptor"
"FBgn0037685","Or85f",0.819,1.01,0.902,0.471,0.0277,-0.268,0.381,"Receptor"
"FBgn0038798","Or92a",1.95,2.25,2.2,0.772,8.27e-28,-0.00662,0.975,"Receptor"
"FBgn0039551","Or98a",1.05,1.37,1.36,0.898,2.34e-08,0.168,0.609,"Receptor"
"FBgn0030204","Or9a",1.43,1.69,1.85,0.707,8.13e-10,0.68,0.000829,"Receptor"
"FBgn0037324","Orco",2.83,3.29,3.33,1.29,7.45e-106,0.272,0.0499,"Receptor"
"FBgn0259246","brp",2.48,2.43,2.27,-0.386,1.78e-07,-0.412,0.00959,"Synapse"
"FBgn0266758","Esyt2",1.67,1.67,1.65,-0.22,0.0293,0.13,0.598,"Synapse"
"FBgn0046704","Liprin-alpha",1.77,1.9,1.74,0.218,0.0226,-0.425,0.0039,"Synapse"
"FBgn0036376","Liprin-beta",1.71,1.78,1.78,0.0224,0.821,0.11,0.451,"Synapse"
"FBgn0013342","nSyb",2.85,2.87,2.81,-0.141,0.0109,-0.0998,0.246,"Synapse"
"FBgn0003392","shi",2.74,2.57,2.47,-0.773,3.06e-42,-0.218,0.0976,"Synapse"
"FBgn0011288","Snap25",2.39,1.58,1.45,-2.94,2.09e-132,-0.349,0.0491,"Synapse"
"FBgn0004575","Syn",2.28,2.24,2.07,-0.355,9.48e-08,-0.456,0.000291,"Synapse"
"FBgn0053094","Synd",2.11,2.04,1.97,-0.456,1.8e-09,-0.14,0.25,"Synapse"
"FBgn0033876","Syngr",2.35,2.3,2.23,-0.397,2.23e-08,-0.0852,0.56,"Synapse"
"FBgn0034691","Synj",1.89,1.86,1.83,-0.307,0.00344,0.016,0.925,"Synapse"
"FBgn0004242","Syt1",2.82,2.66,2.48,-0.743,1.45e-32,-0.488,0.00309,"Synapse"
"FBgn0028400","Syt4",2.41,2.59,2.55,0.401,3.87e-11,-0.0313,0.785,"Synapse"
"FBgn0039900","Syt7",2.23,2.11,1.9,-0.638,8.66e-10,-0.539,0.0085,"Synapse"
"FBgn0013343","Syx1A",2.45,2.45,2.23,-0.24,0.0213,-0.538,0.0504,"Synapse"
