"geneid","symbol","Level Control DPE1","Level Orco DPE1","Level Or42b DPE1","Level Control DPE4","Level Orco DPE4","Level Or42b DPE4","FC Or42b/Control DPE1","pvalue Or42b/Control DPE1","FC Or42b/Control DPE4","pvalue Or42b/Control DPE4","FC Orco DPE4/DPE1","pvalue Orco DPE4/DPE1","FC Or42b DPE4/DPE1","pvalue Or42b DPE4/DPE1"
"FBgn0030715","Or13a",1.22,1.16,1.29,1.47,0.204,1.15,0.233,0.0847,-0.942,1.3e-08,-4.54,4.33e-16,-0.469,0.00426
"FBgn0041626","Or19a",0.183,0.0176,0.16,0.427,0,0.0735,-0.0952,0.892,-3.03,0.000662,-0.821,0.84,-1.38,0.204
"FBgn0062565","Or19b",0.544,0.918,0.862,0.984,0.0819,0.79,1.41,2.18e-08,-0.596,0.0292,-5.09,1.43e-08,-0.334,0.199
"FBgn0026398","Or22a",1.26,1.1,1.39,1.55,1.12,1.25,0.406,0.00134,-0.865,5.59e-08,-0.00396,0.986,-0.499,0.000727
"FBgn0026397","Or22b",1.65,1.8,1.62,2.07,1.56,1.56,-0.105,0.283,-1.56,3.45e-50,-0.986,0.000851,-0.213,0.0629
"FBgn0026395","Or23a",0.765,0.949,1.01,0.897,1.1,0.934,0.922,1.2e-06,0.279,0.33,0.423,0.206,-0.274,0.201
"FBgn0023523","Or2a",0.642,0.635,0.995,0.85,0.264,0.917,1.38,3.09e-11,0.404,0.138,-2.1,0.0362,-0.324,0.132
"FBgn0026392","Or33a",0.401,0.221,0.495,0.665,0.0185,0.398,0.442,0.23,-1.11,0.012,-3.76,0.025,-0.528,0.237
"FBgn0028946","Or35a",1.25,1.25,1.29,1.56,1.12,1.18,0.11,0.42,-1.12,1.42e-11,-0.583,0.0133,-0.396,0.0133
"FBgn0033043","Or42b",1.98,2.12,1.93,2.05,1.1,1.49,-0.153,0.0531,-1.7,1.23e-39,-3.65,3.76e-39,-1.51,2.79e-34
"FBgn0026389","Or43a",0.916,1.23,1.42,1.53,0.766,1.21,1.74,1.66e-33,-0.906,5.45e-08,-1.92,1.92e-05,-0.706,6.92e-06
"FBgn0026393","Or43b",1.19,1.21,1.37,1.62,0.829,1.25,0.637,5.91e-07,-1.11,4.49e-14,-1.51,4.56e-08,-0.419,0.00592
"FBgn0026386","Or47a",1.45,1.52,1.41,1.69,1.53,1.35,-0.144,0.197,-0.964,6.57e-12,-0.0695,0.709,-0.204,0.157
"FBgn0026385","Or47b",1.47,1.58,2.86,2.06,0.956,2.93,4.69,0,3.07,0,-2.44,8.1e-08,0.198,0.00258
